ep. 213 - JLPT公式問題集1の解説-N2問題10(N2)

皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします はいじゃあ読解です
えっとねー 一日一つのつもりだったんですがちょっとね終わらないかもと思って
どっかいも言っちゃいましょう はいじゃあえっと読解の問題ですこの話を聞く前に jlpt の公式問題集を自分で
解いてそして問題見ながら話を聞いてください じゃあ読解は問題10からですね問題10っていうのは読解なんですが
あの短い話を読んでそしてえっと質問が一つだけですね でこの読解の問題の答えの出し方なんですが基本的にね俺はね
どっかいて全部読まないで 必要なところだけ読んでさっと答えを出す
でまぁそれがね読解のテクニックなんですけども そのテクニックを紹介するっていう感じでこの読解の説明をしていきたいと思います
えっとねじゃあまずはね読解の一つ目ですね ほんとね読解の鉄則なんですけど鉄則鉄の決まり絶対破ってはいけないルール
読解はね質問から先に読みましょう質問を読んでそして あのこれから自分はこの日本語の文章の中からどんな答えを探さなきゃいけないのか
ってのを確認してそれから読みましょうね で質問見ると
あの環境問題を人間と呼んだ方がいいそれはなぜかという話ですね これはねキーワードがあるタイプだから答えが探しやすいです
キーワードっていうのはその読解の中で大切な言葉です でここではね人間問題っていうのがこのカッコの中に入ってますね
だから人間問題って書いてあるところを探してそこだけ読むと答えがわかります 人間問題っていうのがねたくさん入ってたらちょっとめんどくさいんですけどもこの問題
簡単だね人間問題って一箇所にしかありません なのでそこだけ読むと答えがわかります
えっとね最後の方ですね人間問題と呼ぶと自分の問題として捉えるって書いてあります 自分の問題っていうことはつまり自分の責任だっていうことなので
あの答えは3番ですね責任を持って考える問題だと
えっとこれはキーワードがあるからほんと簡単でそのキーワードの近くだけを読む 逆に言ったらその他は全然読まなくても答えがわかります
さあその次ですね今度はメールですメールは俺ちょっと苦手 苦手っていうか嫌いというかなんでかっていうとそのキーワードを探して一部分
だけで答えを出すっていうことがあんまりできないんです でねメールはねあのまずは挨拶は飛ばしましょうね
あの メールとか手紙って最初は挨拶書くんですけどあんまりそこ重要なこと書いてないんです
でこのメールだとさてっていう言葉がありますね さてっていうのはまあ挨拶はここで終わりにしてこれから本題に入りますよってことなので
このさての後ろの部分見ましょう そうするとあの
プリンターのインクの話が出てきますね 8メールはこの本文本文のところ本題のところを全部読まないといけないことが多い
です じゃあ読んでいくと
インクを購入するときに定価の5%引き ですが
あと7 8月中に購入だとさらにお得 そういう話ですねなので
