ep. 213 - JLPT公式問題集1の解説-N2問題10(N2)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本は面白くないでもドラマや映画は難しすぎる
(00:00:15) そんな人のために日本語教師の友がちょうどいい日本語で話をします はいじゃあ読解です
(00:00:23) えっとねー 一日一つのつもりだったんですがちょっとね終わらないかもと思って
(00:00:30) どっかいも言っちゃいましょう はいじゃあえっと読解の問題ですこの話を聞く前に jlpt の公式問題集を自分で
(00:00:38) 解いてそして問題見ながら話を聞いてください じゃあ読解は問題10からですね問題10っていうのは読解なんですが
(00:00:48) あの短い話を読んでそしてえっと質問が一つだけですね でこの読解の問題の答えの出し方なんですが基本的にね俺はね
(00:00:59) どっかいて全部読まないで 必要なところだけ読んでさっと答えを出す
(00:01:05) でまぁそれがね読解のテクニックなんですけども そのテクニックを紹介するっていう感じでこの読解の説明をしていきたいと思います
(00:01:15) えっとねじゃあまずはね読解の一つ目ですね ほんとね読解の鉄則なんですけど鉄則鉄の決まり絶対破ってはいけないルール
(00:01:26) 読解はね質問から先に読みましょう質問を読んでそして あのこれから自分はこの日本語の文章の中からどんな答えを探さなきゃいけないのか
(00:01:37) ってのを確認してそれから読みましょうね で質問見ると
(00:01:42) あの環境問題を人間と呼んだ方がいいそれはなぜかという話ですね これはねキーワードがあるタイプだから答えが探しやすいです
(00:01:51) キーワードっていうのはその読解の中で大切な言葉です でここではね人間問題っていうのがこのカッコの中に入ってますね
(00:02:00) だから人間問題って書いてあるところを探してそこだけ読むと答えがわかります 人間問題っていうのがねたくさん入ってたらちょっとめんどくさいんですけどもこの問題
(00:02:11) 簡単だね人間問題って一箇所にしかありません なのでそこだけ読むと答えがわかります
(00:02:17) えっとね最後の方ですね人間問題と呼ぶと自分の問題として捉えるって書いてあります 自分の問題っていうことはつまり自分の責任だっていうことなので
(00:02:28) あの答えは3番ですね責任を持って考える問題だと
(00:02:34) えっとこれはキーワードがあるからほんと簡単でそのキーワードの近くだけを読む 逆に言ったらその他は全然読まなくても答えがわかります
(00:02:44) さあその次ですね今度はメールですメールは俺ちょっと苦手 苦手っていうか嫌いというかなんでかっていうとそのキーワードを探して一部分
(00:02:54) だけで答えを出すっていうことがあんまりできないんです でねメールはねあのまずは挨拶は飛ばしましょうね
(00:03:04) あの メールとか手紙って最初は挨拶書くんですけどあんまりそこ重要なこと書いてないんです
(00:03:11) でこのメールだとさてっていう言葉がありますね さてっていうのはまあ挨拶はここで終わりにしてこれから本題に入りますよってことなので
(00:03:21) このさての後ろの部分見ましょう そうするとあの
(00:03:26) プリンターのインクの話が出てきますね 8メールはこの本文本文のところ本題のところを全部読まないといけないことが多い
(00:03:34) です じゃあ読んでいくと
(00:03:36) インクを購入するときに定価の5%引き ですが
(00:03:43) あと7 8月中に購入だとさらにお得 そういう話ですねなので
(00:03:51) 今まであのインクは5%引きだけど7月と8月に買うともっと安いですよっていうのがこの メールですね
(00:03:59) で最初は挨拶だから読まなくていい最後もこれからもよろしくっていう挨拶だから最後は 読まなくていい
(00:04:07) だからこのさての部分だけ読んでそのインクの割引の話だっていうのがわかりましたね そうするとこれは答えはあの2番ですね
(00:04:17) 7月と8月にインクを買うと5%普通は5%引きなんだけどそれよりももっと安く買える っていうのがこのメールです
(00:04:27) はいじゃあその次ですね3番に行きますねえっと3番はねー と質問を見るとね筆者は恐怖や不安をどう
(00:04:38) このね捉えるっていうのはまあどう考えるかという意味ですね でねこれね筆者の考えを聞かれるタイプって結構簡単でだいたいね
(00:04:49) 日本語のこの読解の問題で筆者の考えて最後にあるんですよ そうするとね
(00:04:55) えっとこの話のテーマってもう恐怖とか不安っていうのがわかりますよね あの最初を見ると恐れるとか不安とか書いてあるから
(00:05:05) でその恐れる不安についての筆者の意見だからもう最後だけ読みましょう 最後を読むと人間も不恐怖や不安という名のブレーキを使って自分たちの
(00:05:16) 安全に役立てると書いてあります つまり不安とか恐怖が自分の安全に役に立つというのがこの筆者の意見ですね
(00:05:26) この人の考えです そうすると
(00:05:29) んと 恐怖とか不安が安全に役に立つっていうのとだいたい同じ意味だから2番の恐怖や不安
(00:05:38) を感じるのが安全につながるってのが答えになりますね はいじゃあその次いきますよ今度は4番です
(00:05:46) うんと 人に問題問題というか質問を見ると人に強い影響を与えるのは
(00:05:54) なんとか限りませんとあるがなぜかですね さあこの線を引いてある部分ですがそれがどうしてかという理由です
(00:06:03) でねこの線を引いてある部分が最初ですね 読解の最初っていうのはだいたいテーマとかねその話の話題が書いてあります
(00:06:13) んで えっと線が最初に引いてあるからそのテーマの部分ですがそれがなぜか
(00:06:20) はいテーマについての筆者の意見だからこれもね最後を見たらわかるんです 一番最後の分見てください
(00:06:27) 学ぼうとする学ぼうとする姿勢があれば何からでも価値あることが学べる で最後に丁寧に私は思うって言葉までつけてくれてますね
(00:06:40) はいなのでもここが筆者の意見でそのテーマの答えだっていうのがわかります そうするとうーんと学ぼうとする姿勢があるっていう話ですね
(00:06:52) えっとそれが わかるのはうーんと一番ですかね
(00:06:57) 強い影響を与えるかどうかは読み手の姿勢で決まる その読み読みて読む人がどういうつもりで読んでるかってことですね
(00:07:07) うーんとはいじゃあその次行きますね最後です えっと5つ目の問題ですね
(00:07:14) えっとね筆者が考える絵画とはどんなものなんですかっていう質問でこれね あの
(00:07:22) 最初見た時にあこれも簡単なタイプかな 筆者の考えが聞かれてるから最後だけ読めばいいのかなって思ったら残念ながらそうじゃ
(00:07:30) なかったんです うーんと選択肢を見ていくと
(00:07:35) あの この文章の中のいろんなところの
(00:07:39) ねえっと話が出てたのでこれ残念ながら最後だけ読む問題ではありませんでした なので選択肢を一つ一つ確認してその後で全部読んでいってで答えを探しました
(00:07:52) えっとねそうするとまあ選択肢1個ずつ見ていくとあの絵画とは 筆者が考える絵って何なのかっていう話ですがまず一番は
(00:08:03) 想像力で書いたもの2番が心の中に感じ取って書いたもの 3番もえっとこれも
(00:08:11) 想像なんだけど一番の想像は目で見たもの えっと3番の想像は存在しないものを想像しながら書く
(00:08:20) で4番はうんとできるだけ現実に近づけて書く でこのどれかという話ですね
(00:08:28) で えっとどれなのかというのを探しながら読んでいきますと
(00:08:33) と 絵画とは何か絵画とはっていう話がありますね真ん中ぐらいに答えがありました
(00:08:41) 絵画とは目の前の自然を心の中に消化する 心の中に消化するっていうのは自分の心の中に1回入れて
(00:08:51) そしてそれをもう1回吐き出すここでの吐き出すとか消化っていうのは 消化も吐き出すも食べ物に関わる話なんですが
(00:09:01) 8絵の話だから食べ物の話ではありませんこれはたとえの話ですね 8だから
(00:09:09) あのもう一度吐き出せって書いてあるけどこの吐き出すというのを絵を書くっていう 意味です
(00:09:14) そうすると自分の心の中に1回入れてそしてそれを絵として書き出すっていうのが この人の言ってることなので答えは一番近いのがにですね
(00:09:26) この心の中で感じてそしてそれを書いたもの
(00:09:32) はいじゃあここまでで問題10が終わりですでね最後の 問題とかあとはメールとかもねちょっと全部読まないと答えがわからなかったり
(00:09:42) するんですが 1と3と4これはね
(00:09:48) 筆者の考えていることなんですかっていうタイプの問題で で筆者の考えていることって大体最後読むとわかるのでこうやってね
(00:09:57) 最後の部分だけ最後の1分とか2分だけ読んで答えを出すっていうことができます えっとこれがね読解のテクニックの一つですね
(00:10:07) キーワードとか探してそこだけ読んだりとか筆者の考えが聞かれてたら 考えがよく書かれている最後だけを読むとか
(00:10:17) こういう読み方するとね効率よくしかも他の部分ですね あの関係ないところに惑わされない
(00:10:26) こっちが答えかなあでもこっちもなんか似てることが書いてあるなっていうそういう 迷うことがなくなります
(00:10:33) はいじゃあねえっととりあえず問題10がここで終わりです その次問題11はまた
(00:10:41) 次のエピソードですかねそこで問題の解き方を話していきたいとおもいます ああじゃあ今日はこれで終わりになります
(00:10:48) 文法の最後の問題と読解と1日で2つ やりましたが
(00:10:54) 皆さんもあの疲れたかもしれませんが勉強頑張ってください えっとこのポッドキャストこのエピソードが少しでも役に立ったと思う人いたら
(00:11:05) 8ペイパーのアカウントを載せておくのでちょっとでもいいので応援してくれると嬉しい です
(00:11:10) それじゃあ今日はこれで終わります次のエピソードでまたお会いしましょうさようなら
