ep. 214 - JLPT公式問題集1の解説-N2問題11(N2)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語の話をします
(00:00:20) いつもの挨拶何回もしてるのに噛んじゃった こういうね言い間違えることを噛むって言うんですけど
(00:00:30) 今まで何回もしてたのに噛んじゃった珍しい じゃあ今日も続きいきますよJLPTの読解の問題です
(00:00:38) はいいつも通り公式問題集のN2の問題解いてそれから問題見ながらこの話を聞いて ください
(00:00:45) はいじゃあ今日は昨日問題10までやったので問題11です 引き続き読解ですね今度は問題10よりも長い文章を読んでそして問題3つありますね
(00:00:57) 一つの文章について問題が3つあります
(00:01:02) じゃあまずは一つ目の問題ですね60番 以前と比べて消費者がどう変わったかっていう話です
(00:01:10) えっとねこのN2レベルの読解になると この質問の文ですね問題とあとは本文とで使われている言葉がちょっと違う
(00:01:20) ということに気をつけてください N3ぐらいまではね質問と問題の本文とでほとんど同じ言葉が使われてたから答えて
(00:01:30) すごい探しやすかったんですけど N2はねそうじゃないんですあんまり優しくないんです
(00:01:36) でこの60番の問題を見ると消費者が変わったっていうこと言ってますね でこの変わったと同じ意味を持つ表現というのを探します
(00:01:45) そうするとですねあの2段落目にこだわりを捨てるっていう言葉が出てきます こだわりっていうのはあの
(00:01:55) まあ人がねあの何かについて自分は絶対こうだっていう強い意識とか考え方ですね それがこだわりなんですけども
(00:02:05) それを捨てるっていうことはつまり考え方が変わるっていうことなのでこの辺が その考え方が変わるっていう話の
(00:02:14) 8まあ答えの部分になりますそうするとねどんなこだわりを捨てるのかというと あの
(00:02:22) あれですねえっとその前の段落では傷がダメっていう話をしてるんだけどでもあの このこだわりを捨てるっていうところでは
(00:02:32) 傷者に目を向けるつまり傷者を見るってことですね そしてそれを買うという話をしていますってことはあの前は傷がダメだった
(00:02:42) けど今は傷が大丈夫になったっていうことなので60番の答えは3番ですね あの傷などの見た目を気にしなくなったということです
(00:02:54) 続いて61番ですね今度は消費者の意識の変化をどのように捉えているか なんか難しいこと言ってますけど消費者の考え方が変わったっていうことについてこの
(00:03:08) 文章を書いた人はどう思いますかとそういうことですね 8
(00:03:16) じゃあこれはどうなのかというとうんと これもねやっぱり同じ言葉ではあの使われ同じ言葉が使われてはいないんですよ
(00:03:28) で8やっぱり同じような意味の言葉を探さなきゃいけませんそうするとね意識の変化 っていう部分ですね
(00:03:36) 意識の変化まあつまり考え方とかの変化ですね そうするとこれもまたねあの
(00:03:43) 別の言葉になってて散乱楽名ですね 8ねー
(00:03:49) 傷をね前の使用者のぬくもりとプラスに捉える歓声が若い人を中心に広がっている 歓声っていうのはつまり考え方とか感じ方ですね
(00:04:03) まあ下に書いてあるか感じ方と でねそれが若い人を中心に広がっているだからそういう考え方が今まではなかったけどでも
(00:04:14) いろんな人に広がりましたということなのでこれがねあの みんなの消費者の意識が変わっている考え方が変わっているという部分になります
(00:04:24) ってことであの 前はね傷がダメだって言ってたんだけど今度は傷がね
(00:04:30) ぬくもりぬくもりっていうのは暖かいっていうことですから暖かさなので あの気持ちに関しての話で暖かいというのはプラスの意味です
(00:04:41) だから傷がぬくもりであるつまり えっといいものであるっていう考え方に変わったと言っているので
(00:04:51) 8ねこれは 今までダメだったものが良くなった
(00:04:55) つまり価値があるように価値があるというように考え方が変わっているので答えは 4番ですね
(00:05:04) うんと で最後ですねよ62番追いついてきたとあるが企業がどうなっているのか
(00:05:11) えっとこの追いつくっていうのは消費者の考え方が先に変わって そしてその後で企業も同じような考え方を持つようになったという意味ですね
(00:05:24) でえっと つまりその消費者の方が先に考え方変わっちゃったんですよ
(00:05:31) 企業は昔の考え方のままでもそれじゃまずいから消費者のそのか 変わった考え方ですね
(00:05:40) その変わった考え方というのを理解してそして企業がそれに合わせなければいけない それが追いつくっていうことなので
(00:05:50) えっとそうすると答え4番ですね はいじゃあこんな感じでえっとねー
(00:05:57) あの n 2の読解っていうのは 問題のあの本文と質問とでね同じ言葉が基本的に使われていません
(00:06:08) 違う言葉に変わっちゃいますだからその違う言葉 だけど同じ意味なのはどれかなーっていうことに気をつけて読んでいきましょう
(00:06:19) えっとじゃあその次ですねその次の問題11-2番の方も行っちゃいますね まずは63番ですね
(00:06:28) うんといつしか身につけたことの一つの例ですね えっとここではねいつしか身につけたことの一つっていうのが幸せ感のハードルを低くする
(00:06:39) って言ってますがこれだけだとわかりませんね なので
(00:06:44) あの読解っていうのは基本的にねわかんない言葉とか難しい言葉が出てきたらその前後 まあだいたい後ですけどね
(00:06:53) その後でね簡単な言葉で言い換えたりとか具体的な例を出して説明したりとかするって いうことがほとんどです
(00:07:02) なのでこれもねその後ろを見ると例えばっていうことが書いてあります さあここでの例え話っていうのは
(00:07:10) えっと契約の話ですね契約ができなかった っていう時に
(00:07:15) あー契約できなかった残念だと凹むのではなくて 契約できなかった契約はしたかったけどでもできなかった
(00:07:25) けどでも社長とねたくさん話ができた つまり社長と仲が良くなった
(00:07:32) だから社長とね仲が良くなったから今回は契約できなかったけど次はきっとできる だろうだから契約はできなかったけどたくさん話せたから今日は良かったんだ
(00:07:43) と思う 一番やりたかったことは契約でもそれができなかったからダメだじゃなくて契約でき
(00:07:51) なかったけどでもあのそれよりもねもうちょっと 簡単なところ社長と話をするっていうのはできたからまあ大丈夫だろう
(00:08:01) そういう考え方ですね ってことでこれが具体例なんですけど一番やりたかったことはできなかったけどでも他の
(00:08:09) ができたからまあいいやっていうのがいつしか身につけたことの例です そうするとねこれねえっとね
