ep. 216 - 猛暑日(N3)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のともがちょうどいい日本語で話をします
さて 久しぶりの普通のエピソードです
最近 jlpt の問題の話ばかりでしたからね えっと今日はねこの暑さについて話したいと思います
まあ暑さと暑さの日本語について 最近最近てあのここ数年ですけどね
暑いですね もう毎年なんか暑さの記録を更新しているような気がします
今年は6月にこんな暑い日が続くのは初めてだっていう話をしていましたね まあもう7月ですけどね6月からずっと暑かったので
えっとねこの 6月にこんなに猛暑日があるっていうのがまあ始めてだっていう話なんですけど
このね猛暑日っていう言葉を皆さん聞いたことがありますか 猛暑っていうのは
とてもとってもとっても暑いっていう意味なんですけど まあそのねとても暑い日を猛暑日と言いますで日本の
あの日本語にはね暑い日というのを表す言葉が3つあります まず一つが夏日
夏日っていうのはまあ夏の日なんですけどね 最高気温が25度以上の日それをね夏日と言います
そして真夏日というのもあります 真夏間がくっつくとまあ真ん中の間と同じですよ
とっても暑いとっても夏とっても夏ってのも変な日本語ですけど あのそれがね真夏日で最高気温が35度以上の日
じゃあ30度の日最高気温が30度以上の日 そして猛暑日というのがあってそれが最高気温が35度以上の日
このね25度30度35度で夏日真夏日猛暑日というふうに言葉が分かれています
でねこのね猛暑日っていう言葉がね実は結構新しい日本語なんですよ
あのそれまではね そんなに暑い日がなかった
あのね今日本ではその最高気温が38度とか40度とかそういう日が そんなに珍しくないんですけど俺が子供の時って
最高気温が32度とか3度とかになると結構珍しくてね めちゃくちゃ暑いって思ってた
ような気がするんですよ まあ子供の時の話だからねすごい前だからそんなに詳しくは覚えてないですけど
あんまりはっきり覚えてないけどでもやっぱり30度を超えると ちょっとね珍しいぐらいのものすごい暑い日だっていうような記憶があるんですよ
それが今ではねあの30度なんて当たり前 むしろ30度ぐらいだったらねまだ涼しい方だなっていうふうに思っちゃう
そのぐらい 日本の最高気温っていうのが上がってるんですよ
で昔ね本当にもうすごい昔は最高気温が25度になるともう結構暑いこれは夏だって 言ってそれで25度以上が夏日になって
そして30度を超えるっていうのがなかなかなかったから 真夏日っていう風に決まってたんですけどだから真夏日がね一番暑いっていう言葉だったんですけど
もうねどんどんどんどん気温が上がってきて30度が当たり前 でそれよりも暑い日がもっと多くなるからだからね真夏日よりももっと暑い日っていう意味の
言葉を作ろうって言って猛暑日という言葉が作られたんです だからね猛暑日って
あの 新しい言葉なんですよ
気象庁って言ってその日本の天気の仕事をねしているところが使っている なんていうかこう正式な言葉で新しい言葉っていうのは結構ね
珍しいというかそんなに多くないから猛暑日って実は実は日本語の中ではちょっとね レアな言葉なんです
でねその猛暑日がねすごい続いて猛暑日って猛暑っていうのは あの危険な
気温なんですよね もう俺が子供の時は考えられないような話なんですけど
暑すぎて死ぬ人が珍しくないっていうね あのね俺が子供の時にも熱射病って言って
あの暑いところにずっといると気分が悪くなるっていう まあそういう病気ですねそういう言葉があったんですけど
今はねえっとちょっと言葉が変わって熱中症っていう風になりましたが そのね熱中症なんて昔はねなかなかならなかったんですよ
でもねあの今は熱中症が全然珍しくない むしろ熱中症であの亡くなるのが
ちゃんと対策をしてないとね熱中症で亡くなってしまうのが当たり前というか まあ全然不思議ではないそういう気温が
猛暑日でそれがめちゃくちゃ多くなったから なんかねあの
怖いというか まあそうですね怖いですよねその
気温の変気候の変化っていうか 地球がどんどん壊れている感じがしてね
あのちょっと難しい話になるんですけど 気候ってそのその1年1月から12月までね1年を通して全部の
その天気とか気温とかがどのくらいかっていうのを表すのを気候って言うんですけど 日本はね
その気候の区分だと温帯っていうところなんですよ まあ北海道はね寒いからちょっと違うんですけど
まあ日本はだいたいその温帯っていうところで温帯はね まあ暖かいところなんですよ
で 暖かいけど暑いところではないんですよ
暑いところっていうのは赤道の近くの国ですね 赤道って地球の真ん中の赤い線のところ
その赤い線の近くにある国てどこも暑いですよね ああいうところだととても暑い
あの暑い国なのでその気候の区分も温帯とかじゃなくて熱帯って言うんですけど なんかね日本はもともと温帯だったはずなのにだんだん
熱帯みたいなね気温に近づいてきましたね まあまだ日本には冬があってあの冬になるとやっぱりマイナス
気温がマイナスとかになるからあの 熱帯とは言えないんですけどでも夏の間だけはね本当に
もうこれは温帯じゃないだろうっていうようなめちゃくちゃな気温になってきましたね なのでねあの
ちょっと前にね日本はすごい暑いから涼しい国から日本に行く人はどうしたらいいですか っていうようなそんな
話もあったんですけども まあ涼しい国からじゃなくてもねどんな国からでもそうですが日本に来る人は
暑さ対策をしっかりしておいてくださいね 今は首から下げておく
あのずっと持っていることができる小さい扇風機とかそういうのもたくさん売ってます から日本に引っ越す人も日本に旅行に来る人も
ぜひそういう暑さ対策を忘れないでしてきてください 8今ね7月の頭です7月の頭でこんなに暑いっていうことはきっと
これから7月の中旬下旬8月になるともっと暑くなっていくと思うので本当に皆さん あの熱中症には気をつけてください
さてじゃあ今日はねあの日本の暑さについてそして日本の暑さを表す言葉について のお話でした
久しぶりの普通のエピソードでした えっと今日はね特にリクエストとかではないんですが他にも何か
あのこんな話が聞きたいとかのリクエストがあれば メッセージとかメールとかぜひ送ってください
あとこのポッドキャストが役に立った面白いと思ってくれる人がいたら ペーパーに載せておくので応援していただけると嬉しいですよろしくお願いします
それじゃあまた次のエピソードでお会いしましょうさようなら
