ep. 216 - 猛暑日(N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:12) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のともがちょうどいい日本語で話をします
(00:00:23) さて 久しぶりの普通のエピソードです
(00:00:28) 最近 jlpt の問題の話ばかりでしたからね えっと今日はねこの暑さについて話したいと思います
(00:00:38) まあ暑さと暑さの日本語について 最近最近てあのここ数年ですけどね
(00:00:48) 暑いですね もう毎年なんか暑さの記録を更新しているような気がします
(00:00:58) 今年は6月にこんな暑い日が続くのは初めてだっていう話をしていましたね まあもう7月ですけどね6月からずっと暑かったので
(00:01:10) えっとねこの 6月にこんなに猛暑日があるっていうのがまあ始めてだっていう話なんですけど
(00:01:20) このね猛暑日っていう言葉を皆さん聞いたことがありますか 猛暑っていうのは
(00:01:28) とてもとってもとっても暑いっていう意味なんですけど まあそのねとても暑い日を猛暑日と言いますで日本の
(00:01:39) あの日本語にはね暑い日というのを表す言葉が3つあります まず一つが夏日
(00:01:49) 夏日っていうのはまあ夏の日なんですけどね 最高気温が25度以上の日それをね夏日と言います
(00:02:00) そして真夏日というのもあります 真夏間がくっつくとまあ真ん中の間と同じですよ
(00:02:09) とっても暑いとっても夏とっても夏ってのも変な日本語ですけど あのそれがね真夏日で最高気温が35度以上の日
(00:02:21) じゃあ30度の日最高気温が30度以上の日 そして猛暑日というのがあってそれが最高気温が35度以上の日
(00:02:33) このね25度30度35度で夏日真夏日猛暑日というふうに言葉が分かれています
(00:02:43) でねこのね猛暑日っていう言葉がね実は結構新しい日本語なんですよ
(00:02:51) あのそれまではね そんなに暑い日がなかった
(00:02:58) あのね今日本ではその最高気温が38度とか40度とかそういう日が そんなに珍しくないんですけど俺が子供の時って
(00:03:10) 最高気温が32度とか3度とかになると結構珍しくてね めちゃくちゃ暑いって思ってた
(00:03:20) ような気がするんですよ まあ子供の時の話だからねすごい前だからそんなに詳しくは覚えてないですけど
(00:03:28) あんまりはっきり覚えてないけどでもやっぱり30度を超えると ちょっとね珍しいぐらいのものすごい暑い日だっていうような記憶があるんですよ
(00:03:38) それが今ではねあの30度なんて当たり前 むしろ30度ぐらいだったらねまだ涼しい方だなっていうふうに思っちゃう
(00:03:48) そのぐらい 日本の最高気温っていうのが上がってるんですよ
(00:03:53) で昔ね本当にもうすごい昔は最高気温が25度になるともう結構暑いこれは夏だって 言ってそれで25度以上が夏日になって
(00:04:07) そして30度を超えるっていうのがなかなかなかったから 真夏日っていう風に決まってたんですけどだから真夏日がね一番暑いっていう言葉だったんですけど
(00:04:18) もうねどんどんどんどん気温が上がってきて30度が当たり前 でそれよりも暑い日がもっと多くなるからだからね真夏日よりももっと暑い日っていう意味の
(00:04:31) 言葉を作ろうって言って猛暑日という言葉が作られたんです だからね猛暑日って
(00:04:39) あの 新しい言葉なんですよ
(00:04:43) 気象庁って言ってその日本の天気の仕事をねしているところが使っている なんていうかこう正式な言葉で新しい言葉っていうのは結構ね
(00:04:55) 珍しいというかそんなに多くないから猛暑日って実は実は日本語の中ではちょっとね レアな言葉なんです
(00:05:05) でねその猛暑日がねすごい続いて猛暑日って猛暑っていうのは あの危険な
(00:05:14) 気温なんですよね もう俺が子供の時は考えられないような話なんですけど
(00:05:23) 暑すぎて死ぬ人が珍しくないっていうね あのね俺が子供の時にも熱射病って言って
(00:05:33) あの暑いところにずっといると気分が悪くなるっていう まあそういう病気ですねそういう言葉があったんですけど
(00:05:41) 今はねえっとちょっと言葉が変わって熱中症っていう風になりましたが そのね熱中症なんて昔はねなかなかならなかったんですよ
(00:05:52) でもねあの今は熱中症が全然珍しくない むしろ熱中症であの亡くなるのが
(00:06:02) ちゃんと対策をしてないとね熱中症で亡くなってしまうのが当たり前というか まあ全然不思議ではないそういう気温が
(00:06:11) 猛暑日でそれがめちゃくちゃ多くなったから なんかねあの
(00:06:18) 怖いというか まあそうですね怖いですよねその
(00:06:23) 気温の変気候の変化っていうか 地球がどんどん壊れている感じがしてね
(00:06:31) あのちょっと難しい話になるんですけど 気候ってそのその1年1月から12月までね1年を通して全部の
(00:06:41) その天気とか気温とかがどのくらいかっていうのを表すのを気候って言うんですけど 日本はね
(00:06:49) その気候の区分だと温帯っていうところなんですよ まあ北海道はね寒いからちょっと違うんですけど
(00:06:58) まあ日本はだいたいその温帯っていうところで温帯はね まあ暖かいところなんですよ
(00:07:05) で 暖かいけど暑いところではないんですよ
(00:07:12) 暑いところっていうのは赤道の近くの国ですね 赤道って地球の真ん中の赤い線のところ
(00:07:20) その赤い線の近くにある国てどこも暑いですよね ああいうところだととても暑い
(00:07:27) あの暑い国なのでその気候の区分も温帯とかじゃなくて熱帯って言うんですけど なんかね日本はもともと温帯だったはずなのにだんだん
(00:07:39) 熱帯みたいなね気温に近づいてきましたね まあまだ日本には冬があってあの冬になるとやっぱりマイナス
(00:07:48) 気温がマイナスとかになるからあの 熱帯とは言えないんですけどでも夏の間だけはね本当に
(00:07:56) もうこれは温帯じゃないだろうっていうようなめちゃくちゃな気温になってきましたね なのでねあの
(00:08:05) ちょっと前にね日本はすごい暑いから涼しい国から日本に行く人はどうしたらいいですか っていうようなそんな
(00:08:13) 話もあったんですけども まあ涼しい国からじゃなくてもねどんな国からでもそうですが日本に来る人は
(00:08:22) 暑さ対策をしっかりしておいてくださいね 今は首から下げておく
(00:08:30) あのずっと持っていることができる小さい扇風機とかそういうのもたくさん売ってます から日本に引っ越す人も日本に旅行に来る人も
(00:08:39) ぜひそういう暑さ対策を忘れないでしてきてください 8今ね7月の頭です7月の頭でこんなに暑いっていうことはきっと
(00:08:51) これから7月の中旬下旬8月になるともっと暑くなっていくと思うので本当に皆さん あの熱中症には気をつけてください
