ep. 218 - 最近のニュース(N3)

皆さんこんにちはともですこれは日本語を勉強している人のためのポートキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は最近の日本のニュースについて話をしたいと思います 皆さん日本のニュース見ますか
多分あまり見ませんよね あの外国語でニュースを見るのって難しいですよね
なので今日はねあまり難しい日本語じゃなくて少し簡単な日本語にして 最近のニュースどんなニュースがあるのかという話をしたいと思います
ではまず一つ目一つ目は今月 日本で一番大きなニュースといえば
安倍元首相が撃たれて亡くなってしまったという事件です 安倍晋三という日本の前の首相ですね
その首相が銃で撃たれて亡くなってしまいました 犯人はすぐ捕まって今警察が犯人と
あのどうして撃ったのかとかねそういう話をしているところです それでここに3日あの
その安倍首相が撃たれた事件の関係のニュースで えっとよく出ているのが
その安倍晋三のお葬式をどうするかという話です 人が亡くなった後に葬式ってあのどこの国でもねすると思うんです
けど 今回安倍元首相元首相ですねが亡くなってしまって
首相ですからね国の仕事政治をたくさんしてそして国のために あのいろいろなことをしたということで
そのお葬式を国が するという話が出ています
普通ね葬式っていうのは家族がするものだと思います 亡くなった人の家族が自分たちでお葬式をするんですがでも今回の安倍
元首相は国の仕事をたくさん人だした人だから 国がお葬式をしましょうという話になっています
ただねこれはねあの 賛成の意見と反対の意見とどちらもあります
反対の意見ではねやっぱりその今は首相ではない 元首相なんだから
その元首相 今首相じゃない人にその国のお金つまり税金ですね
日本国民みんなから集めた税金を あの元の人に使うのは良くないという反対意見が出ています
賛成の方の意見はやっぱりその元ではあるけど もう首相の仕事はしていないけどでもあの
この安倍晋三っていうのは日本で一番長い首相でしたからね 何年も何年もずっと首相の仕事をしてそして国のためにいろんなことをしたんだから
今は首相の仕事は辞めたけどでも国がお葬式をして えっとした方がいいんじゃないかという意見ですね
えっとでまぁこれはねあの一応 国のお葬式国葬って言うんですけどそれをすると決まってはいるみたいですね
えっと今の首相が国葬しますという話をしていました さあそれじゃあ2つ目のニュース
82つ目はやっぱりコロナのニュースがねあの やっぱりなくなりませんね
今日本ではコロナがまた多くなっていて8東京ではねすごく あのコロナにかかった人が増えているようですね
今日のニュースだと本当今日はね東京で19,059人 コロナにかかった人がわかりましたというニュースが出ています
亡くなった人も2人いるみたいですね でその今までね世界中でコロナが流行ってそして世界中でいろんな国でそのいろいろな
コロナの対策をしてきましたね で日本でも今またコロナが増えてきたから
あの どうしましょうかという話をしています
8去年とかねコロナが流行り始めた時にはまだどんな病気かもよくわからないし コロナにならないようにコロナが広がらないようにと言って
緊急事態宣言とかね あのいろいろ
せ政治政府がね動いてそして あのいろんな対策をしてきましたが
今回はあの頃なの人がね増えて危ないとは言っているんですが それでもね今までよりはちょっとね行動制限
まあつまり外に出ないでくださいとかお店に行かないでくださいとか イベントはしないでくださいみたいなそういういろいろな制限は
コロナの人は増えたけど前よりもあの 制限が少なくなってますね
まあこれもやっぱりワクチンを打つ人が多くなってそして 8以前よりもコロナにかかっても重症になりにくいっていうこととか
コロナの薬ができたこととかそういうのが関係しているんでしょうね 早く猫の新型コロナの薬とかねあのちゃんと効くワクチンとかができて普通の風と
同じように扱うことができればいいんですけど まあそれにはまだちょっと時間がかかりそうですね
とりあえず今はコロナの人が増えるとニュースになるぐらいなのでまだまだ普通の 風とは言えませんね
8それじゃあもう一つだけニュース紹介しておきましょう 8これも今日のニュースなんですが
えっとね今ね今というか今日なんですけど 雨がすごいです
すごいですって あの
雨がねたくさん降るというニュースが出ています えっとこれはね
洗浄香水体っていう結構新しい日本語が今ニュースに出てるんですけど 最近ねー
最近というかあのここ何年か 天気に関係する新しい日本語っていうのが多くなっている気がします
んとこの前ねちょっと 猛暑日の話をしましたねとても暑い日の話
猛暑日っていうのも結構新しい日本語だし 8雨に関する
日本語だと今言ったこの洗浄香水体とかあとは 俺が大人になってからだとゲリラ豪雨っていう言葉も
あのよく使われるようになったなと思います 8昔よりもね
日本って言うか地球全体がどんどん暑くなっています この世界がどんどん暑くなることを温暖化と言うんですけど
この温暖化が進んで天気も昔と変わっているので その昔と違う新しい天気だから新しい日本語も作られています
そしてこの洗浄香水体っていうのは何かというと 洗浄
線の形っていうことですね香水体っていうのは雨が降る場所という意味です だから線の形の雨が降る場所
長い線ですね 8
雨が降る場所ってつまり雨雲雲があるところですけど そのね雨の雲雨雲と言いますが雨雲が線の形になってずっと続いていて
そしてその雨雲があるところでたくさん雨が降る それが洗浄香水体でこれもねー
あのまあ20年ぐらい前からあったみたいなんですけど ここ数年この洗浄香水体が多くなっていてあの天気予報とかでも
この洗浄香水体がありますよっていうそういうねニュースが出るようになりました だからニュースでこの言葉を聞くのは結構最近になってからですね
で今回はこの洗浄香水体っていうのが九州の方で あの発生するので雨がたくさん降ります気をつけてくださいという話になっています
雨がたくさん降るとね危ないですからね あの
もちろん川の川の水とかが多くなって流される危険性だってあるし 山に雨がたくさん降ると土砂崩れと言って山が崩れてしまう
山が壊れてしまって土がたくさん流れてきて道路とか家とかを流してしまう そういうこともあるので大雨が降るときには気をつけてくださいというニュースが出ます
はいじゃあ今日はね日本の最近のニュース3つ紹介しました 安倍晋三元首相の話とあとはコロナの話
そして洗浄香水体の話の3つです ニュースの日本語ね難しいと思いますけど
あの 日本人の友達とね話をするならやっぱりニュースの話題が出ることはありますからね
8難しいと思いますが頑張って日本のニュースも見てみてください日本語の勉強にも なると思いますしね
じゃあ今日はこの辺で終わりにしたいと思います 8このポッドキャスト役に立ったこのポッドキャストが大好きですという人いたら
8ペイパル載せておくので応援していただけると嬉しいです ではまた次のエピソードでお会いしましょうさようなら
