ep. 218 - 最近のニュース(N3)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポートキャストです
(00:00:12) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:22) さて今日は最近の日本のニュースについて話をしたいと思います 皆さん日本のニュース見ますか
(00:00:33) 多分あまり見ませんよね あの外国語でニュースを見るのって難しいですよね
(00:00:43) なので今日はねあまり難しい日本語じゃなくて少し簡単な日本語にして 最近のニュースどんなニュースがあるのかという話をしたいと思います
(00:00:54) ではまず一つ目一つ目は今月 日本で一番大きなニュースといえば
(00:01:03) 安倍元首相が撃たれて亡くなってしまったという事件です 安倍晋三という日本の前の首相ですね
(00:01:14) その首相が銃で撃たれて亡くなってしまいました 犯人はすぐ捕まって今警察が犯人と
(00:01:24) あのどうして撃ったのかとかねそういう話をしているところです それでここに3日あの
(00:01:33) その安倍首相が撃たれた事件の関係のニュースで えっとよく出ているのが
(00:01:41) その安倍晋三のお葬式をどうするかという話です 人が亡くなった後に葬式ってあのどこの国でもねすると思うんです
(00:01:54) けど 今回安倍元首相元首相ですねが亡くなってしまって
(00:02:01) 首相ですからね国の仕事政治をたくさんしてそして国のために あのいろいろなことをしたということで
(00:02:13) そのお葬式を国が するという話が出ています
(00:02:19) 普通ね葬式っていうのは家族がするものだと思います 亡くなった人の家族が自分たちでお葬式をするんですがでも今回の安倍
(00:02:31) 元首相は国の仕事をたくさん人だした人だから 国がお葬式をしましょうという話になっています
(00:02:40) ただねこれはねあの 賛成の意見と反対の意見とどちらもあります
(00:02:48) 反対の意見ではねやっぱりその今は首相ではない 元首相なんだから
(00:02:56) その元首相 今首相じゃない人にその国のお金つまり税金ですね
(00:03:04) 日本国民みんなから集めた税金を あの元の人に使うのは良くないという反対意見が出ています
(00:03:16) 賛成の方の意見はやっぱりその元ではあるけど もう首相の仕事はしていないけどでもあの
(00:03:26) この安倍晋三っていうのは日本で一番長い首相でしたからね 何年も何年もずっと首相の仕事をしてそして国のためにいろんなことをしたんだから
(00:03:36) 今は首相の仕事は辞めたけどでも国がお葬式をして えっとした方がいいんじゃないかという意見ですね
(00:03:46) えっとでまぁこれはねあの一応 国のお葬式国葬って言うんですけどそれをすると決まってはいるみたいですね
(00:03:56) えっと今の首相が国葬しますという話をしていました さあそれじゃあ2つ目のニュース
(00:04:04) 82つ目はやっぱりコロナのニュースがねあの やっぱりなくなりませんね
(00:04:11) 今日本ではコロナがまた多くなっていて8東京ではねすごく あのコロナにかかった人が増えているようですね
(00:04:21) 今日のニュースだと本当今日はね東京で19,059人 コロナにかかった人がわかりましたというニュースが出ています
(00:04:33) 亡くなった人も2人いるみたいですね でその今までね世界中でコロナが流行ってそして世界中でいろんな国でそのいろいろな
