ep. 219 - 夏休み(N4)

皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて 今日は夏休みについて話をしたいと思います
もう夏ですね 梅雨も終わりました
だんだん暑くなってきました この時期は
学生がみんな楽しみにしている 夏休みがあります
夏休みは日本の小学校から 中学校高校大学専門学校
全部の学校にあります 夏休みは
場所によって長さが違うんです いつ始まるかといつ終わるかというのが
全然違います とても暑いところだと夏休みは長いです
寒いところだと夏休みは短いです 俺が住んでいたところだと
結構寒いところであの 冬休みの方がね
少し他のところよりも長かったので 夏休みは反対に少し短かったんです
でもだいたい夏休みって1ヶ月ぐらいですね 7月の下旬から8月の下旬ぐらいまで1ヶ月
休みになるところが多いです この夏休みは
学生はみんな楽しみにしていますね あの
大学生とかもねみんな楽しみにするんですよね 俺の働いている日本語学校の学生もみんな楽しみにしていました
これちょっと不思議ですよね大学生とか日本語学校とかの学生は 自分で
授業のお金を払ってお金を払って勉強しているのに 休みが来て喜ぶって
ねー お金を払って休みになるって言うと
あの 反対にねちょっと嫌だと思う人がいそうですけど
でもみんな喜ぶんですよね まあ俺も大学生の時に夏休みは嬉しかったですけどね
この夏休みは みんないろいろなことをしますまあ1ヶ月も休みがありますからね
俺が子供の時はやっぱりそうだねよく友達と遊びに行ってましたし あの
遊びに行く 一緒に遊ぶ人がいない時はねみんな忙しくてどこにも行かない時も家で
そうだねなんかゴロゴロしたりとかねゆっくり過ごしていました 大学生の時は
旅行に行くこともあったかなあんまり俺昔旅行好きじゃなかったからそんなに旅行 にはいかなかったんですけど
でもまあ時々ね旅行に行ったりとかあとは免許を取っていましたね 日本の車の運転免許って
あの 初めて取るときは
だいたいね1ヶ月ぐらいかかるんですよ 車を運転する学校に通って
あの毎日ね授業を受けたり車の練習をしたりして それで車の免許を取ります
だから夏休みを使って大学生の時は免許を取ったりとかあとは あの
車の免許も取ったしその次の年にはバイクの免許も取りましたね
えっとこれはまたあのいつかね詳しく話はしたいと思いますが 日本では車の免許を持っている人はバイクの免許を取るのが少し簡単になるので
俺はねあの車を取ってからバイク取ったから2週間ぐらいでバイクも取れたんです そういうふうにあの
いろいろなねやりたいことに時間を使うというのが夏休みの過ごし方ですね ねあの夏休みは学生のものなのに勉強の話が全然出てこないんですけど
えっと大人になってからも夏休みはあります ただ会社はねあの
その会社で働いている人みんなが一緒に休んでしまうと あの
会社の仕事がね何もできなくなってしまうから働いている人は夏休みってみんなで 一緒に長く取るんじゃなくてバラバラに取ることが多いです
例えば あの
会社に入るとね夏休みてそんなに学生みたいに1ヶ月もないんですよ だいたい1週間とかまあ5日ぐらいかな
そのぐらいなんですけど あの5日連続で取ることはあまりできません
そうじゃなくて7月に2回休んで8月に 8月の上旬に1回中旬に1回休んで9月にも1回休んで全部で5日休む
みたいな休み方が多いですかね あの俺の会社会社っていうか俺は日本語学校で働いているからね
学校みたいなところはあの 夏休みの期間このぐらいの時期だと授業がないからみんな休みやすいから
あの普通の会社とは違ってみんなでまとめて一緒に休むんですけど でも会社他の会社だとねそういう休み方はあまりできないみたいですね
さあこれが日本の夏休みというシステムです 夏休みだけじゃなくて日本には冬休みもあります
さっきちょっと言ったけどねあの夏休みは暑いところだと長いんです で寒いところだと短いです
逆に冬休みは寒いところだと長くなって暑いところだとそんなに長くないです この夏休みとか冬休みってね
夏は暑すぎるとか冬は雪があって学校に行くのが大変とかそういう理由で長い休み になるのでだからその場所の天気とかあの
えーと気候って言うんですけどね暑かったり寒かったりそういうのに合わせて休みも ちょっとずつ変わります
んで俺のいたところはまあ冬休みがねちょっと長かったんですよね 雪が降るところでしたから
えっとじゃあこんなのが日本の休みです えっと皆さんの国とどうでしょう違いますか
えっと学生の夏休みはあんまり変わらないかもしれませんね もしかしたら社会人働いている人の夏休みは皆さんの国だと
あのもっと長いかもしれませんね日本人の夏休みは短いってよく聞きます 今このポッドキャストを聞いている人の中にも学生の人がたくさんいると思います
多分学生の人はみんなそろそろ夏休みですね 皆さんは夏休みどんなことをしますか何か予定がありますか
今はコロナでねあまり予定を立てることができないかもしれませんが何か皆さんの 楽しい夏の予定とかがあればぜひ教えてください
コロナでねあまり外に行くことができないかもしれませんがでもコロナでもこんな 楽しみ方があるよ
なんてねそんな素敵な話があったらぜひあの聞きたいと思いますのでメールとかメッセージ とか皆さんからのお話を待っています
それじゃあ今日はこの辺で終わりにしたいと思います このポッドキャストが面白かった頑張ってほしい応援したいという人はペイパール載せておくので
えーと少しでもいいので応援してもらえると嬉しいです ではまた次の話でお会いしましょうさようなら
