ep. 219 - 夏休み(N4)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:13) 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:18) そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:24) さて 今日は夏休みについて話をしたいと思います
(00:00:33) もう夏ですね 梅雨も終わりました
(00:00:38) だんだん暑くなってきました この時期は
(00:00:42) 学生がみんな楽しみにしている 夏休みがあります
(00:00:50) 夏休みは日本の小学校から 中学校高校大学専門学校
(00:00:59) 全部の学校にあります 夏休みは
(00:01:04) 場所によって長さが違うんです いつ始まるかといつ終わるかというのが
(00:01:12) 全然違います とても暑いところだと夏休みは長いです
(00:01:19) 寒いところだと夏休みは短いです 俺が住んでいたところだと
(00:01:26) 結構寒いところであの 冬休みの方がね
(00:01:32) 少し他のところよりも長かったので 夏休みは反対に少し短かったんです
(00:01:39) でもだいたい夏休みって1ヶ月ぐらいですね 7月の下旬から8月の下旬ぐらいまで1ヶ月
(00:01:49) 休みになるところが多いです この夏休みは
(00:01:55) 学生はみんな楽しみにしていますね あの
(00:02:01) 大学生とかもねみんな楽しみにするんですよね 俺の働いている日本語学校の学生もみんな楽しみにしていました
(00:02:11) これちょっと不思議ですよね大学生とか日本語学校とかの学生は 自分で
(00:02:19) 授業のお金を払ってお金を払って勉強しているのに 休みが来て喜ぶって
(00:02:27) ねー お金を払って休みになるって言うと
(00:02:33) あの 反対にねちょっと嫌だと思う人がいそうですけど
(00:02:39) でもみんな喜ぶんですよね まあ俺も大学生の時に夏休みは嬉しかったですけどね
(00:02:47) この夏休みは みんないろいろなことをしますまあ1ヶ月も休みがありますからね
(00:02:55) 俺が子供の時はやっぱりそうだねよく友達と遊びに行ってましたし あの
(00:03:04) 遊びに行く 一緒に遊ぶ人がいない時はねみんな忙しくてどこにも行かない時も家で
(00:03:12) そうだねなんかゴロゴロしたりとかねゆっくり過ごしていました 大学生の時は
(00:03:19) 旅行に行くこともあったかなあんまり俺昔旅行好きじゃなかったからそんなに旅行 にはいかなかったんですけど
(00:03:28) でもまあ時々ね旅行に行ったりとかあとは免許を取っていましたね 日本の車の運転免許って
(00:03:38) あの 初めて取るときは
(00:03:41) だいたいね1ヶ月ぐらいかかるんですよ 車を運転する学校に通って
(00:03:48) あの毎日ね授業を受けたり車の練習をしたりして それで車の免許を取ります
(00:03:57) だから夏休みを使って大学生の時は免許を取ったりとかあとは あの
(00:04:05) 車の免許も取ったしその次の年にはバイクの免許も取りましたね
(00:04:12) えっとこれはまたあのいつかね詳しく話はしたいと思いますが 日本では車の免許を持っている人はバイクの免許を取るのが少し簡単になるので
(00:04:25) 俺はねあの車を取ってからバイク取ったから2週間ぐらいでバイクも取れたんです そういうふうにあの
(00:04:34) いろいろなねやりたいことに時間を使うというのが夏休みの過ごし方ですね ねあの夏休みは学生のものなのに勉強の話が全然出てこないんですけど
(00:04:48) えっと大人になってからも夏休みはあります ただ会社はねあの
(00:04:56) その会社で働いている人みんなが一緒に休んでしまうと あの
(00:05:02) 会社の仕事がね何もできなくなってしまうから働いている人は夏休みってみんなで 一緒に長く取るんじゃなくてバラバラに取ることが多いです
(00:05:15) 例えば あの
(00:05:18) 会社に入るとね夏休みてそんなに学生みたいに1ヶ月もないんですよ だいたい1週間とかまあ5日ぐらいかな
(00:05:27) そのぐらいなんですけど あの5日連続で取ることはあまりできません
(00:05:33) そうじゃなくて7月に2回休んで8月に 8月の上旬に1回中旬に1回休んで9月にも1回休んで全部で5日休む
(00:05:48) みたいな休み方が多いですかね あの俺の会社会社っていうか俺は日本語学校で働いているからね
(00:05:58) 学校みたいなところはあの 夏休みの期間このぐらいの時期だと授業がないからみんな休みやすいから
(00:06:08) あの普通の会社とは違ってみんなでまとめて一緒に休むんですけど でも会社他の会社だとねそういう休み方はあまりできないみたいですね
(00:06:20) さあこれが日本の夏休みというシステムです 夏休みだけじゃなくて日本には冬休みもあります
(00:06:29) さっきちょっと言ったけどねあの夏休みは暑いところだと長いんです で寒いところだと短いです
(00:06:38) 逆に冬休みは寒いところだと長くなって暑いところだとそんなに長くないです この夏休みとか冬休みってね
(00:06:49) 夏は暑すぎるとか冬は雪があって学校に行くのが大変とかそういう理由で長い休み になるのでだからその場所の天気とかあの
(00:07:04) えーと気候って言うんですけどね暑かったり寒かったりそういうのに合わせて休みも ちょっとずつ変わります
(00:07:13) んで俺のいたところはまあ冬休みがねちょっと長かったんですよね 雪が降るところでしたから
(00:07:21) えっとじゃあこんなのが日本の休みです えっと皆さんの国とどうでしょう違いますか
(00:07:28) えっと学生の夏休みはあんまり変わらないかもしれませんね もしかしたら社会人働いている人の夏休みは皆さんの国だと
(00:07:40) あのもっと長いかもしれませんね日本人の夏休みは短いってよく聞きます 今このポッドキャストを聞いている人の中にも学生の人がたくさんいると思います
(00:07:53) 多分学生の人はみんなそろそろ夏休みですね 皆さんは夏休みどんなことをしますか何か予定がありますか
(00:08:03) 今はコロナでねあまり予定を立てることができないかもしれませんが何か皆さんの 楽しい夏の予定とかがあればぜひ教えてください
(00:08:14) コロナでねあまり外に行くことができないかもしれませんがでもコロナでもこんな 楽しみ方があるよ
(00:08:21) なんてねそんな素敵な話があったらぜひあの聞きたいと思いますのでメールとかメッセージ とか皆さんからのお話を待っています
(00:08:33) それじゃあ今日はこの辺で終わりにしたいと思います このポッドキャストが面白かった頑張ってほしい応援したいという人はペイパール載せておくので
(00:08:41) えーと少しでもいいので応援してもらえると嬉しいです ではまた次の話でお会いしましょうさようなら
