ep. 220 - 日本のバイクの免許制度(N2)

ん
皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや英語は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日はですね前にちょっとねバイクの話したと思うのでそのねバイクの話をしたいと
思います あの俺ねバイク好きなんですよ
今はねあのちょっと時間とお金がないから あのバイクは持ってないんですけど学生の頃ね小さいバイク持ってて
で休みの日にねあの散歩代わりにバイク乗ってその辺走ったりしてたんです でね今日はそのバイクの免許の話をしたいと思います
あの皆さんの国でもね車に乗る時とかバイクに乗るときに免許はほぼ必須だと思うん ですよ
ただあの免許の種類って国によって違いますよね 日本の免許ってあのいろいろ分かれてて
車でも大きい車普通の車小さい車とか バイクも大きさによってその免許の種類が違ったりとかねするんです
で今日はねそのバイクの免許の話です 日本のバイクの免許ってね細かく分けると全部でね7種類あるんですよ
であのまあその7種類ってどういう分け方をしているのかというと基本的には大きさ あの
大きいバイクに乗りたかったら大きいバイクの免許を取らないとダメなんです で小さい方からね紹介していくとまずね
一番小さいのは原付とか原チャリって言ったりする あのそういうふうに言われているバイクで
正式名称原動機付き自転車自転車なんですよ あのバイクだけどねでも自転車みたいに小さい
あのそして気軽に手軽に乗れるそれがね一番小さいバイクです 原動機っていうのはまあ要するにエンジンのことですよね
エンジンのついた自転車っていう意味です であの自転車っていうのを
話し言葉でねチャリっていう風に言う時があるので 原動機付き自転車の源とチャリで原チャリです
原チャリっていうのはその小さいサイズなんですけど 廃棄量まあつまりどのくらいあのエンジンのパワーがあるかということですね
その廃棄量が50 cc 以下のものが原チャリと言います で日本ではねこの原チャリ乗ってる人は多いです
なんでかというと車の免許を持っているとバイクの免許がなくてもこの原チャリに 乗ることができるからです
ただねあの本当に小さくてスピードも出せないし2人乗りも禁止されてます 法律でね
なので本当にちょっと近くに行くぐらいですねどこかに出かけたかったら旅行とか したかったらこの原チャリではほぼ無理です
でその次の大きさがね原付2種とか言ったりするんですけど 原付原チャリなんだけどでもそれよりももうちょっと大きいサイズ
廃棄量があの50 cc よりも上で125よりしたかな それだとね2人乗りすることもできるし普通の50 cc までの原チャリよりも
あのもっとスピードも出していいんですよ あの原チャリって法律でねあの道路では50キロしか
50じゃないかえっと30キロかな30キロしか出しちゃいけないって決まってるんです 30キロでね道路走ってたら逆に遅すぎて危ないんですけどね
でも40とか50とかスピード出すと警察に捕まっちゃうんですよ でその原付2種正式名称はねあの小型原付普通にリンって言うんですけど
こっちだとそういう制限とかが何もなくなるんです ただね125 cc までだからあのそんなに大きくない
そんなに力はないから高速道路とかは乗ることができないんですけど まあ普通の道路はね車と同じように走ることができます
でその次が次はね俺が持っている免許なんですけど普通にリンって言って 400 cc までですね
400までだとまあ結構あの なんていうかな普通のバイク一般的なバイクって言われてみんながイメージするよう
なそういう大きさの音バイクに乗ることができます この400 cc までの大きさだとあの高速道路に乗ることもできますね
もちろん2人乗りとかもできます でさらにあのもっと大きいのだと大型にリンって言って大型はね
あの400よりも400 cc よりも上のもの全部です ハーレーとかはそうですねでっかいですよね
あの小さい車なんかよりもエンジンの力が強かったりしますね で
8大きさで言うとこの原付と原付2種そして普通大型の4つなんですが 原付以外はねあの
オートマかそれともマニュアルかというふうにさらに2つに分かれます オートマとマニュアルってあのマニュアルは要するに自分でギアを変えるやつですね
あの左手でクラッチの操作をしてで左足でギアを変える それを自分でやるのがマニュアルでオートマは右手であのエンジンを回すだけ
それで乗れるのがオートマです えっとこれがね日本のバイクの免許の種類7種類です
俺が持っているのは普通2輪のあのマニュアルの方ですね マニュアル持っていればオートマもどっちも乗れるんです
マニュアルだけの人オートマだけの人はマニュアル乗ってはいけないっていう免許です でこの免許を俺は大学生の時に取ったんですよ
8前は夏休みの話しましたね大学生の時の夏休みにこの免許を取りました ちなみに俺は8ね車もね普通の免許
まあ車は あのちょっと細かく言うとね
あの今日本の車の免許って普通の大きさと中型 中くらいの大きさと大型っていうふうに分かれてて俺のは
中型の限定っていうすごい細かいあれなんですけど 中型の車運転してもいいけどでもあのあんまり大きいのはダメだよ
小さい方の中型なら運転してもいいよっていうねあのそういう免許なんです で俺はその車の免許を持っててでそこに後からバイクの免許を追加したっていう
感じですね その道路で走る乗り物の免許って全部1枚のカードに乗ってるんですよ
あなたは車の免許とバイクの免許がありますよっていうのがその1枚のカードに 書かれてるんです
で他にもねあの例えば俺の場合だとトラックとかを運転したかったらまた 車の学校に行ってトラックの練習をしてで試験を受けるとその俺の免許のカードに
今度はトラックも運転していいですよっていう大型のところにチェックが入って ででっかいバイクに乗りたかったらまた
バイクの学校に行ってで練習をして試験を受けて大丈夫だったら その大型バイクのところにチェックが入るっていう感じですね
こうやって乗り物の免許1枚のカードにどんどん試験に合格したら あの乗ってもいい種類のところにチェックが入っていきます
んで8外国の人はね国際免許を持っていれば運転はできると思うので日本の免許とは ちょっとね違うと思いますが
あの外国人でも外国の人でも日本でずっと生活している人は例えば日本で結婚したり とかねそういう人は日本人と同じ免許を持っている人っていうのもたくさんいますね
はいじゃあこんなのがね日本のバイクの免許についての紹介でした バイク好きな人にはねあの
