ep. 222 - 助数詞(N2)

me
皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします はいじゃあ今日はですねえっとリクエストもらってまして
助数詞についてね話してくださいということでした 8助数詞っていうのはあのものを数えるときの言葉です
8日本語を勉強している人はねもう 最初の方から初級のうちから
人だったらあの人を使うし長いものだったら本を使うとかね あのそういうのを勉強していると思うんですがこの助数詞ってね
あの日本語を勉強している人は そんなにたくさんは覚えないと思うんですけど
あの実はねー あの
何百個もあるらしいんですよ ねあの俺日本人だけどそんなにね何百個もわかりませんが
でもなんかものすごくね細かく あの言葉が決まっているらしいですね
まあなんでらしいってそんなね日本人なのにわかんないのかというと実はこの助数詞 って
あの 本当は違うんだろうけどでもね
例えば こうとかね1個2個とか一つ二つとかそういうね
何でも使える助数詞を使っちゃうことも結構あるので だからねあんまり細かくは気にしないで使うことが結構多くてそれで
正しい助数詞をね全部覚えていないっていう そういう俺みたいな日本人がたくさんいると思うんですよ
ただそれでもねやっぱり助数詞を間違えると変だなって思っちゃうこととか あの意味がね違って伝わっちゃうこととかそういうこともあるので
やっぱりねある程度はちゃんと覚えなきゃいけないなとは思います で今日はねリクエストでその助数詞なんだけど
あの 基本的な助数詞はね皆さん教科書で勉強すると思います
なので今日はちょっと珍しいものとか この違いを知っておくと知らなくてもそんなに困らないかもしれないけどでもねいろんな話が
できて面白いよっていうのを紹介したいと思います えっとでもねこの助数詞本当に多すぎて全然全部は紹介できないので
まあ皆さんの音身近にあるものからいくつか紹介しようかなと思います 身近にあるものといえばまずは日本語を勉強している人は学校で勉強する人も
多いので学校の中の話をしたいと思いますが えっと皆さんが勉強する場所教室ですよね
あの 部屋ってね普通は1部屋2部屋って数えるんですけど
学校の教室はねちゃんとねあの教室を助数詞として使って 8ね例えば
あのフロアには5教室あるみたいに使うことができるんですよ だから1教室2教室3教室みたいなねそんなにメジャーな使い方じゃないかもしれませんけど
でもやっぱり学校の教室の話するんだったら あのフロアには2部屋あるとかいうよりも部屋を使うよりも教室って言った方がわかり
やすいですね あの部屋って言うと職員室あの先生の待機する事務所みたいなそういうところなのか
教室なのかがわかりにくいからやっぱり教室ってはっきり言った方がいいですね であの教室とね似てる意味の言葉でクラスっていうね
日本語がありますけどまぁ日本語っていうかもともと英語ですけどね あのクラスって言うと今度は
その建物の部屋じゃなくて部屋自体じゃなくて えっとなんて言うんだろう
あの そこにいる人も含めてすべてっていうかね
自分が所属する ところっていう意味の数え方になりますで例えばあの
なんだろう私は英語のクラスをとっていますって言うと あのまあ英語の授業っていう意味ですね
そういうふうに言うと英語の部屋をとっていますっていう意味じゃないですね で
あの 先生もね例えば
8私は 今期8先生が少ないから一人で2クラス担任をしていますとかね
そのクラスの数を数えるときにクラスという言葉を使います だからね教室っていうのとあの意味が似てる言葉なんだけど全然違う使い方
なんですよ えっと後はねそのクラスの数え方なんですけど
一つ一つの授業の時には今度はね困って言う言葉を使います 今日は授業が2コマあるとか
月曜日は3コマ授業をとっているとかね授業の数え方はコマなんです まあこれはね小学校中学校高校まではコマじゃなくて時間っていう時の方が多い
です あの今日は授業が5時間あるとかね
でまぁこんな風にあの学校の中にもねいろんな 助数子があってそのクラスとか教室コマっていうと意味がねすごく似てるんですけど
使い分けがあるんですよ であとはね他にも皆さんの生活の中であの
よく使う助数子っていうとそうですね例えばスーパーの中で使う言葉なんかは 難しいのが多いなって思います
えっとスーパーの中にあるもの 簡単なものが多いですよ例えば野菜とかねそういう
難しいものじゃなくって皆さんの本当に身近にある よく見るものよく使うものよく食べるものそういうのにもいろんな助数子があって
野菜だったらあの とりあえず長いものは本を使う
大根とか人参とかごぼうとかねそれは1本2本というふうに数える それはペンとかと同じですね
であの ちょっとね難しいっていうか独特なのは豆腐とかですね
豆腐の数え方って1町2町3町っていうふうに長を使うんですよ でえっと
難しいっていうか面白いのは キャベツとかねあの大きい丸いものキャベツだけじゃなくてスイカでも何でもいいんです
けど丸いものってね 玉を使うんですキャベツが1玉2玉3玉っていうふうに
でキャベツはね面白いんですけど玉っていうのは丸いものだから キャベツってね日本のスーパーに行くと
あの一つ全部売ってる時と半分に切ったものとか 4分の1に切ったものっていうふうに小さく切られて売られている場合もあるんです
で玉っていうのは丸いものだからキャベツ半分に切っちゃう玉じゃないですね そうすると2分の1個とか切ったものだから2分の1切れとかね
別の女数子に変わるんですよ でキャベツっていうのはあの
まあ葉っぱですよね料理するときに1枚ずつとって剥がすから あのキャベツ1玉から1枚取って剥がすと今度は薄いものになるので1枚っていう風に前に
数え方が変わります でこういうふうにあの形が変わるとね数え方も変わるっていうのは野菜だけじゃ
なくて魚とかもそうですね 魚の数え方って難しいんですよ
あの 海でね泳いでいるときには1匹2匹3匹っていう動物と同じ数え方するんです
ただねあのすごく大きい魚だと匹じゃなくて1頭2頭って数えることもあります これは動物も同じで大きい動物ってね1匹2匹よりも1頭2頭3頭っていう風に
頭を使うことが多いです で魚ってあの
海で泳いでいるときは1匹2匹でもそれが スーパーで売られているときには
まあ普通に売られてたら1匹2匹でもいいんですけど パックに入ってたら
1パックっていう風に今度は魚じゃなくてねパックの方で数えるんです で魚がね丸ごと1匹だったら1匹でいいんですけどそうじゃなくて
あの薄くね切ってるとき あの魚って真ん中に太い大きい骨がありますからそこの骨の部分を
あの切ってねそこは捨てて薄くしてあるときには魚が1枚2枚っていう風にまた前に 数え方変わります
でさらに魚ってあの日本人はね刺身にして食べることがありますね そうすると刺身みたいにあの切ってあると今度は一切れ二切れ
っていう風にまたね数え方が変わるんです だからね同じものでも
あの置いてある場所まあいる場所によって数え方が変わったり形が変わったりすると 常数種も変わっちゃうんです
あとはね他にもね面白いものといえば思いつくのはやっぱりウサギですね ウサギの数え方って動物だから1匹2匹でいい
あのそれでだいたい大丈夫なんですけど本当はウサギって あの1匹2匹じゃなくて鳥と同じ1羽2羽って数えるらしいんですよ
まあ俺はあの めんどくさいから1匹って言っちゃいますけどね
あの1羽2羽って数えるようになった理由はなんかいろんな説があってね本当が本当に 正しいのはどれかというのはわかんないんですけどまあとりあえず
ウサギは1羽2羽と数える あと他にはねあの
日本といえば侍が好きな人いると思いますが侍って言うとね刀を持ってますよね 刀って長いから1本2本て数えるのかと思いきや
あれね刀は 振りますよね刀を振って使うから1振り2振り3振りっていう風に振りと言って
数えます
なんかねややこしいですよねまあ1本2本て数えても全然問題ないしわかると思うん ですよね
はいじゃあこんな風にね日本語の助数詞いろいろありますがあの形金変わると 呼び方が変わるっていうのがやっぱり特徴的ですよね
なのであの それをね間違えるとやっぱり意味が間違って伝わっちゃうこととか
時々あるのでそういうのは気をつけた方がいいですね あの例えばバーベキューしている時にキャベツ1枚とってっていうのとキャベツ1玉とって
っていうのでは全然違いますからね 1玉って言ったら丸ごと1個出てきちゃうから
あのこんな風に違いが大きいものっていうのは覚えておくと あの誤解が少ないしまあそういうのを探していくとねいろんな面白い助数詞に出会える
と思います じゃあ今日は助数詞の話この辺であの他にもいろんな面白いのありますけど全部
言ってるとね時間すごいかかっちゃうのでこの辺で終わりにしておきたいと思います 助数詞は難しいとは思いますが本当に間違えると大変な時があるから頑張って覚えて
ください えっとじゃあ今日は助数詞のリクエストでしたが他にもね皆さん何かリクエストとかある人は
