ep. 222 - 助数詞(N2)

(00:00:00) me
(00:00:07) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:16) そんな人のために日本語教師の友がちょうどいい日本語で話をします はいじゃあ今日はですねえっとリクエストもらってまして
(00:00:25) 助数詞についてね話してくださいということでした 8助数詞っていうのはあのものを数えるときの言葉です
(00:00:34) 8日本語を勉強している人はねもう 最初の方から初級のうちから
(00:00:40) 人だったらあの人を使うし長いものだったら本を使うとかね あのそういうのを勉強していると思うんですがこの助数詞ってね
(00:00:50) あの日本語を勉強している人は そんなにたくさんは覚えないと思うんですけど
(00:00:56) あの実はねー あの
(00:01:00) 何百個もあるらしいんですよ ねあの俺日本人だけどそんなにね何百個もわかりませんが
(00:01:07) でもなんかものすごくね細かく あの言葉が決まっているらしいですね
(00:01:14) まあなんでらしいってそんなね日本人なのにわかんないのかというと実はこの助数詞 って
(00:01:21) あの 本当は違うんだろうけどでもね
(00:01:26) 例えば こうとかね1個2個とか一つ二つとかそういうね
(00:01:32) 何でも使える助数詞を使っちゃうことも結構あるので だからねあんまり細かくは気にしないで使うことが結構多くてそれで
(00:01:43) 正しい助数詞をね全部覚えていないっていう そういう俺みたいな日本人がたくさんいると思うんですよ
(00:01:50) ただそれでもねやっぱり助数詞を間違えると変だなって思っちゃうこととか あの意味がね違って伝わっちゃうこととかそういうこともあるので
(00:02:02) やっぱりねある程度はちゃんと覚えなきゃいけないなとは思います で今日はねリクエストでその助数詞なんだけど
(00:02:11) あの 基本的な助数詞はね皆さん教科書で勉強すると思います
(00:02:16) なので今日はちょっと珍しいものとか この違いを知っておくと知らなくてもそんなに困らないかもしれないけどでもねいろんな話が
(00:02:27) できて面白いよっていうのを紹介したいと思います えっとでもねこの助数詞本当に多すぎて全然全部は紹介できないので
(00:02:37) まあ皆さんの音身近にあるものからいくつか紹介しようかなと思います 身近にあるものといえばまずは日本語を勉強している人は学校で勉強する人も
(00:02:48) 多いので学校の中の話をしたいと思いますが えっと皆さんが勉強する場所教室ですよね
(00:02:58) あの 部屋ってね普通は1部屋2部屋って数えるんですけど
(00:03:03) 学校の教室はねちゃんとねあの教室を助数詞として使って 8ね例えば
(00:03:12) あのフロアには5教室あるみたいに使うことができるんですよ だから1教室2教室3教室みたいなねそんなにメジャーな使い方じゃないかもしれませんけど
(00:03:24) でもやっぱり学校の教室の話するんだったら あのフロアには2部屋あるとかいうよりも部屋を使うよりも教室って言った方がわかり
(00:03:34) やすいですね あの部屋って言うと職員室あの先生の待機する事務所みたいなそういうところなのか
(00:03:42) 教室なのかがわかりにくいからやっぱり教室ってはっきり言った方がいいですね であの教室とね似てる意味の言葉でクラスっていうね
(00:03:54) 日本語がありますけどまぁ日本語っていうかもともと英語ですけどね あのクラスって言うと今度は
(00:04:02) その建物の部屋じゃなくて部屋自体じゃなくて えっとなんて言うんだろう
(00:04:09) あの そこにいる人も含めてすべてっていうかね
(00:04:14) 自分が所属する ところっていう意味の数え方になりますで例えばあの
(00:04:23) なんだろう私は英語のクラスをとっていますって言うと あのまあ英語の授業っていう意味ですね
(00:04:30) そういうふうに言うと英語の部屋をとっていますっていう意味じゃないですね で
(00:04:35) あの 先生もね例えば
