ep. 223 - 副詞(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
はいじゃあですね今日はえーとまたリクエストをいただいたんですが あのね時間の福祉をね
教えてほしいっていうリクエストあったんです ってことで今日はねあの
久しぶりにすごい 勉強っぽい
あの話になりますね 8
まあこの前ねえっと 8月の後半になると7月に受けた jlpt の結果がね
出ますからねそれで 8
まあ合格した人はね すごい嬉しいでしょうし次も頑張ろうっていう気持ちになっていると思うし
ダメだった人もよし次は頑張ろうと思って 勉強を頑張る気持ちがね今すごく強い時期かなと思うので
まあちょうどいいリクエストですね じゃあねえっと今日はとにかく時間を表す言葉
8福祉って言うんですけどねそれをあのいろいろ紹介したいと思いますので 頑張って覚えてください
じゃあですね時間の福祉なんですがあの 簡単な言葉はね皆さん日本語の勉強を始めてすぐに覚えたと思います
なので8まあだいたい同じような意味の意味なんだけど ちょっと違う言葉もありますよっていうものを紹介したりとか
あの皆さんがねあまり 教科書では見ないかもしれないっていうような言葉を
いろいろとねあの言いたいと思います じゃあまずは
8 後でっていう意味の言葉ですね
あの後ではまあそんなに難しくない言葉だとは思いますが 後でと同じような意味で使う言葉他にもね
後ほどなんていう言葉がありますね 後っていうのは後という意味なんですけど
あの少しね丁寧な話し方をするときには後でじゃなくて後ほどと言います あの仕事とかねまあビジネスとかそういった場面では使われる言葉ですね
仕事でね後でやりますっていう言い方はあまり良くないね で後でって言うとあの
まあどのくらい後かはわからないけど 少しあの時間が空きます
で後でよりももっと早くやるときにはすぐっていう言葉がありますね ですぐよりももっと早くっていう時には今すぐなんていう言い方もあります
今すぐ今をつけると今とねとても近いというイメージになりますから だから後でよりもすぐよりももっと早くっていう時には今すぐします
なんて言い方になります 8後はねー
会話じゃなくてこう 会話っていうかねその普通に2人で話をするとかそういうのじゃなくて連絡をするとき
なんかは後でじゃなくて別の言い方で追ってって言ったりもします 8例えば追って連絡しますとかね
これ後で連絡しますっていう意味なんですけどもあの 普通の会話では使わない言い方ですね
あとね他にもねこれからの話をする言葉だと近々なんてのもあります 近々っていうのはさっきのすぐみたいなね早い話じゃなくてもう少し後何日か
後とかそういう時に使います例えば近々引っ越しすることになりましたって言ったら まあそうだね
今月中とかね1週間後とか2週間後とかそのぐらいのあの先の話になります 近々なんかはねあの俺は結構普通の会話では聞くような気はするんですけど教科書
ではあんまり見ないですね じゃあこういうのが後でと似た意味の言葉ですが後でっていうのはこれからの話ですね
じゃあこれからじゃなくて今よりも前の話だったらどんな言葉を使うか これも簡単なのだと例えばさっきとかがありますね
前とかの方がもっと簡単かな まあつまり前っていうのは今よりも前だからあの昔の話をするときの言葉ですね
さっきっていうのは今からちょっとだけ前の意味ですね でさっきと同じような意味でついさっきなんて言葉もあります
追加くっつくと今よ今とねとても近いという意味になります でえっと
さっきと同じように前の話をするんだったらあの もちろん前も使いますしさっきよりもちょっとね丁寧な話し方だと先ほど
という言葉もあります まあ先ほどはねさっきとあの
本当に同じ意味なんですけどこれもね丁寧な言い方ですね やっぱりビジネスとかではさっきじゃなくて先ほどという丁寧な言葉を使います
でえっとさっきと似た意味でまぁ ついさっきとかもありますけど同じように今からちょっとだけ前っていう言葉だと
たった今なんていうのもありますね 今ってねあの使い方がいろいろあるんですけど
本当に今今の時間を言う時と今から少しだけ前っていう時もあります あとはねさっきの使い方実はね今から少しだけ後の時にも使います
だから今はねあの使い方がねすごく 広いんですよ
