ep. 223 - 副詞(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:15) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:25) はいじゃあですね今日はえーとまたリクエストをいただいたんですが あのね時間の福祉をね
(00:00:34) 教えてほしいっていうリクエストあったんです ってことで今日はねあの
(00:00:39) 久しぶりにすごい 勉強っぽい
(00:00:44) あの話になりますね 8
(00:00:48) まあこの前ねえっと 8月の後半になると7月に受けた jlpt の結果がね
(00:00:57) 出ますからねそれで 8
(00:01:01) まあ合格した人はね すごい嬉しいでしょうし次も頑張ろうっていう気持ちになっていると思うし
(00:01:09) ダメだった人もよし次は頑張ろうと思って 勉強を頑張る気持ちがね今すごく強い時期かなと思うので
(00:01:19) まあちょうどいいリクエストですね じゃあねえっと今日はとにかく時間を表す言葉
(00:01:28) 8福祉って言うんですけどねそれをあのいろいろ紹介したいと思いますので 頑張って覚えてください
(00:01:37) じゃあですね時間の福祉なんですがあの 簡単な言葉はね皆さん日本語の勉強を始めてすぐに覚えたと思います
(00:01:47) なので8まあだいたい同じような意味の意味なんだけど ちょっと違う言葉もありますよっていうものを紹介したりとか
(00:01:57) あの皆さんがねあまり 教科書では見ないかもしれないっていうような言葉を
(00:02:04) いろいろとねあの言いたいと思います じゃあまずは
(00:02:09) 8 後でっていう意味の言葉ですね
(00:02:13) あの後ではまあそんなに難しくない言葉だとは思いますが 後でと同じような意味で使う言葉他にもね
(00:02:23) 後ほどなんていう言葉がありますね 後っていうのは後という意味なんですけど
(00:02:31) あの少しね丁寧な話し方をするときには後でじゃなくて後ほどと言います あの仕事とかねまあビジネスとかそういった場面では使われる言葉ですね
(00:02:44) 仕事でね後でやりますっていう言い方はあまり良くないね で後でって言うとあの
(00:02:52) まあどのくらい後かはわからないけど 少しあの時間が空きます
(00:02:59) で後でよりももっと早くやるときにはすぐっていう言葉がありますね ですぐよりももっと早くっていう時には今すぐなんていう言い方もあります
(00:03:13) 今すぐ今をつけると今とねとても近いというイメージになりますから だから後でよりもすぐよりももっと早くっていう時には今すぐします
(00:03:25) なんて言い方になります 8後はねー
(00:03:31) 会話じゃなくてこう 会話っていうかねその普通に2人で話をするとかそういうのじゃなくて連絡をするとき
(00:03:40) なんかは後でじゃなくて別の言い方で追ってって言ったりもします 8例えば追って連絡しますとかね
(00:03:52) これ後で連絡しますっていう意味なんですけどもあの 普通の会話では使わない言い方ですね
(00:04:00) あとね他にもねこれからの話をする言葉だと近々なんてのもあります 近々っていうのはさっきのすぐみたいなね早い話じゃなくてもう少し後何日か
(00:04:14) 後とかそういう時に使います例えば近々引っ越しすることになりましたって言ったら まあそうだね
(00:04:24) 今月中とかね1週間後とか2週間後とかそのぐらいのあの先の話になります 近々なんかはねあの俺は結構普通の会話では聞くような気はするんですけど教科書
(00:04:39) ではあんまり見ないですね じゃあこういうのが後でと似た意味の言葉ですが後でっていうのはこれからの話ですね
(00:04:49) じゃあこれからじゃなくて今よりも前の話だったらどんな言葉を使うか これも簡単なのだと例えばさっきとかがありますね
(00:05:01) 前とかの方がもっと簡単かな まあつまり前っていうのは今よりも前だからあの昔の話をするときの言葉ですね
(00:05:12) さっきっていうのは今からちょっとだけ前の意味ですね でさっきと同じような意味でついさっきなんて言葉もあります
(00:05:24) 追加くっつくと今よ今とねとても近いという意味になります でえっと
(00:05:32) さっきと同じように前の話をするんだったらあの もちろん前も使いますしさっきよりもちょっとね丁寧な話し方だと先ほど
(00:05:44) という言葉もあります まあ先ほどはねさっきとあの
(00:05:50) 本当に同じ意味なんですけどこれもね丁寧な言い方ですね やっぱりビジネスとかではさっきじゃなくて先ほどという丁寧な言葉を使います
(00:06:01) でえっとさっきと似た意味でまぁ ついさっきとかもありますけど同じように今からちょっとだけ前っていう言葉だと
(00:06:13) たった今なんていうのもありますね 今ってねあの使い方がいろいろあるんですけど
(00:06:21) 本当に今今の時間を言う時と今から少しだけ前っていう時もあります あとはねさっきの使い方実はね今から少しだけ後の時にも使います
(00:06:35) だから今はねあの使い方がねすごく 広いんですよ
(00:06:42) 今家に帰ってきましたって言ったらちょっと前に家へ帰ってきました という意味だし
(00:06:49) 今行きますって言ったら今からねちょっとだけ後に行きますという意味になるから あの
(00:06:57) 今だけだとねどの意味かわかんないのでその前とか後ろの言葉を聞いてどんな意味かな って考えます
(00:07:06) あとはね えっとこれからの話とかあの前の話だけじゃなくてもう少し幅の広い言い方
(00:07:17) 幅が広いっていうのはあのつまり最近みたいな言葉ですね 最近暑い日が多いって言ったら
(00:07:27) ちょっと前の話だけじゃなくて前から今までずっと続いている 少し長い時間の時使いますね
(00:07:36) あのさっきとか 前っていうのはそんな長い時間じゃなくて短い時間です
(00:07:43) 例えば さっき友達に会いましたって言ったらその友達に会った時間というのはそんなに長くない
(00:07:50) です まあ5分だけとかね1時間ぐらいちょっと一緒にご飯食べたとかでもいいです
(00:07:57) けど でもさっき友達に会ったこれは友達とずーっと長い時間一緒にいるという意味ではありません
(00:08:05) でも最近暑い日が続きますね っていう話し方をするとこの最近っていうのは
(00:08:13) 何日か3日とか4日とかあとは1週間とかね 長い時間ずーっと暑い日が多いこういう時に使う言葉ですね
(00:08:23) で最近っていうのはだからあのこれからには使えない言葉なのでさっきとか前と ちょっと似てるよう似てる前の話なんですけどその幅が広い使い方です
(00:08:37) で後はね時間に関係する言葉だとあの前とかこれからじゃなくて どのくらい
(00:08:47) 頻繁にするか頻繁って言ったらちょっと難しいねわかりにくい言葉ですね 8簡単な言葉だとね例えば時々という言葉は皆さん知っていると思います
(00:08:59) 時々と似てる言葉もねやっぱりたくさんあるんですよ 8初級で勉強する簡単な言葉だと時々よりももっとね
(00:09:10) たくさんするときにはよくっていう言葉がありますね 時々朝コーヒーを飲みますって言ったら多分
(00:09:20) 1週間に1回とか2回とか よく朝コーヒーを飲みますだったら1週間に4回とかね5回とかね
(00:09:30) いつもって言ったらこれは毎日ですね
(00:09:34) 8でこういうふうにあの1週間に何回しますかとか1年で何回しますか みたいな話し方
(00:09:42) そういう言葉をね頻度って言いますどのくらいしますかという意味 で時々よりももっと多いのは今言った欲とかいつもですね
(00:09:54) 時々よりも少ないっていう時の言葉もあります たまにっていう言葉ですね
(00:10:03) たまに朝コーヒーを飲みますって言うとね まあ結構少ないイメージですね
(00:10:10) 1週間か2週間に1回だけとか1ヶ月に12回とかね でさらにもっと少ない言葉もありますもっと少ないときには
(00:10:23) 滅多に飲みませんっていう言い方があります 滅多にっていうのはあまりとね使い方似てるんですけど滅多にって言ったら後ろ
(00:10:34) はね絶対にないっていう言葉なんですよ そうするとねゼロじゃないけどとても少ないという意味です
(00:10:42) だから滅多にコーヒー飲みませんって言ったら そうだねいっ
(00:10:47) 1年に何回かとかねそのぐらい少ない感じですね あとこの滅多にと似てる意味の言葉だと
(00:10:55) まれになんてのがありますね まあ意味はだいたい同じなんですけど使い方少し違うかな
(00:11:02) まれにっていうのはないと一緒に使いません 例えばこのあたりでも稀に雪が降ることがありますとかね
(00:11:11) まあこれで時々よりもすごく少ないという意味です
(00:11:16) さてじゃあこんなのがねあの時間に関係するいろいろな言葉ですね まあこれよりもねもっと難しい言葉だと
(00:11:26) やっぱりねたくさんあるんですけども今紹介したような言葉がわかると結構ね あの普段の生活の会話だったら
(00:11:37) わかるものが多いんじゃないかなと思います えっとどんどんね難しい
(00:11:44) 勉強を進めていったりとかいろいろなテレビとか本とかね そういうのを見ていくとまたいろんな言葉を見ると思うので
(00:11:53) 基本的なものを覚えたらそうやって難しいのもどんどんチャレンジしていってみて ください
(00:11:59) では今日はこの辺で終わりにしたいと思いますがまた皆さんも何かリクエストとか あったらぜひメールやメッセージを送ってください
(00:12:08) それじゃあまた次の話でお会いしましょうさようなら
