ep. 224 - 連絡

(00:00:00) 皆さんこんにちはともです今日は連絡です 先週ポッドキャストとインスタで皆さんに連絡した
(00:00:16) 英語とか中国語で話しませんかっていうイベントですね 8あれについてですがたくさんの人に申し込みをいただきました
(00:00:26) ありがとうございます それで全員と話すことはちょっとできないのでとりあえず
(00:00:35) あの 俺がインスタとポッドキャストでね
(00:00:39) 誰かやりませんかという連絡をしてから 最初に連絡をくれた人に
(00:00:46) あの参加してもらいたいと思います 8ねそれでまだメールとかメッセージをくれた人誰にも返事はしていません
(00:00:56) これからあの そのね
(00:01:00) メッセージとかメールをくれたのが早かった人に連絡をしたいと思います それでその人が
(00:01:08) あの 時間のね都合が
(00:01:12) 良ければ 一緒に話をしてもしダメだったらまた別の人に連絡をしていきたいと思います
(00:01:21) んで今回とりあえずね最初なので1回やってみて そしてその後でまたあの
(00:01:29) 続けていくことができれば 連絡をくれた人にね順番にどんどんあの
(00:01:37) 一緒にやりませんかということを連絡していきたいとおもいます ですので
(00:01:43) 8申し込みをしてくれた人は 8俺から連絡が来るかもしれませんからねそれを待っていてくださいお願いします
(00:01:54) ってことでね今日はその連絡でした また何かあったらポートキャストとかインスタとかで連絡をするのでチェックしていてください
(00:02:03) 宜しくお願いしますそれじゃあさようなら
