ep. 225 - 趣味(N2)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて8普通のエピソードちょっと久しぶりになってしまいましたすいません
8今日はですねまたリクエストをもらったのでそれにお答えしたいと思います うんとですねリクエストの内容は趣味について趣味たの俺の趣味
なんかあの趣味ありますかっていう質問だったんですけど この話ね俺の趣味の話してこのポートキャストを作ったばかりの時にちょっとね話をした
ことがあるんですよ ただねこのポートキャスト結構長いですよねもう2、3年前になっちゃったし
あの前作った時はねレベルが結構簡単な方の日本語で話したので今日はね えっとそのこの3年間でね俺の趣味がどう変わったかっていうことと
あのそれを交えながらねもう一度話をしたいと思います そして今回はちょっと難しい日本語で話すスピードも早くねちょっと難しい言葉も
使いながら話していきたいとおもいます じゃあですねまず
えっと復習しましょうか 俺の趣味が何かっていうと
まずはね運動ですね体を動かすのが好きなのでえっと 格闘技が好きですボクシングとかキックボクシングとかね
あとはまあ漫画を読むのも好きですね漫画は本当に常に読んでます 最近は携帯でいろんな漫画が読めるのであのちょっとでも時間があるとねだいたい携帯
で漫画読んでいると思います まあもちろん本読むのが好きなので漫画だけじゃなくてね
あの他の本も読みますよ 日本語教育の話とかね日本語の先生なので日本語大好きです
日本語の本とかあとは言語教育言葉を教えるっていうね そういう本も読みますまあ仕事でも読みますが
半分以上趣味かなこれは自分が読んでて面白いと思うのでそういう本もね たくさん読みます
まあこれがね俺の趣味なんですが 他にもねこれ趣味って言えるのかどうかわかんないけどお酒は好きですね
お酒の話で今まで何回もしたことがありますが とにかく酒が好きなので
暇さえあれば酒を飲もうとする良くない先生ですね ってことでねまあこれがねあのざっくりとですけど俺の好きなことを趣味ですね
じゃあねこのポートキャストを作り始めてからその辺がどう変わったかっていうとですね 運動はやっぱり好きなんだけど
あの このね2年間3年間で子供が生まれてねー
しかも2人生まれたんですよ ねびっくりですね
自分がね親になるなんて思ってもなかったんですけどね昔は気づいたら2人の子供が いてってそうするとやっぱりねなかなか自分の時間が取れなくて
運動を全然しなくなっちゃいましたね 本当昔はね
あの結婚したばかりの時なんかは 週5
とかね結婚する前なんかは収録週7週7ってもう毎日だね 毎日のように運動してたんですけど今は全然しなくなりました
もうね体が生って 本当に
ブヨブヨです 筋肉が全然なくなってね脂肪ばかりになっちゃって本当に普通のおっさんの体好きになっちゃ
いましたね 昔はねやっぱり運動をすごいしてた頃は
誰から見てもねいい体してますねみたいなそんな体をしてたと思うんですけど 今はそれが全然なくなっちゃいました普通の人になっちゃいました
んでヘッド まあね子供がねあの大きくなったら時間に余裕ができたらねまたやりたいなとは思います
がちょっとそこがね俺の趣味で変わっちゃったとこですね で8好きなこと漫画はねやっぱり今でも
あの携帯で漫画読めますからねちょっとでも時間があれば漫画は読んでます ここは継続してしている趣味
あんまりいい趣味じゃないかもしれないけどね 本もまあそれなりに読んでますが
漫画よりもね本読む時間はすごく少なくなりましたね やっぱりねその言語教育の話なんかは難しいから頭をすごい使うんですよね
である程度まとまった時間がないと内容が頭に入ってこないから まとまった時間取れたら読みたいなーっていう本は
あの 時々ね買うんですけどなかなか読めずにねそのまま買ったままになっちゃってます
で後はまあまとまった時間取れたとしてもさっきお酒の話をしましたけどね お酒は飲みます
なのでねお酒飲んでる時に難しい本と読めないんですよね 読んでもやっぱり頭がうまく働かないからなかなか読み進まないかなぁと
ってことでねあの本を読む時間がちょっと減っちゃいましたね で8酒とか漫画とかそういうあまり良くない趣味は
趣味そうだね趣味だねそれはねずっと続いてますね ただね酒はねちょっとね最近減らしてます
この 1233ヶ月はまだ経ってないかなまあこの2ヶ月くらいねちょっと
酒飲みすぎてやばいかなと思ってあんまりね飲まないようにしてます 8あんまり飲まないっていうのは具体的に言うと
仕事翌日仕事がある平日は飲まない まあつまり月下水木ですね週に4日飲まないようにしてます
ただ祝日があると飲みますけど だから酒飲むのがね1週間に23日ぐらいだったらそんなに健康にもね問題はない
かなと思うのでちょっとね頑張ってそこは減らしてます 頑張って減らしてるんです頑張らないとつい飲んじゃうからすごい頑張ってます
飲みたいけどめちゃくちゃ我慢してます ってことでねこの辺がねあの俺の趣味ですね
あの運動と本が好きだけど運動は時間がない あとは酒が好きで本は漫画は読むけど他の本はちょっと読まなくなっちゃいました
お酒は今でも好きだけど飲む量がねちょっと あの少なくなってます頑張って減らしてます
なんかこうやって聞くとあれだね運動しないし酒は飲んでるけどでも 体に気を使って健康のために減らしてるっていうのが
すごい 年を取ったなって感じがしますね
ねえなんかすごいおじいさんって感じだね まあ子供も生まれればねおじいさんになりますよね
ってことではいあの俺のね趣味の話でした あとねまあこのポッドキャストも趣味の一つではありますね
えっともう一つ質問があってどうしてこのポッドキャストを作ったんですかっていう ねそんな質問でした
まあ趣味ですよ趣味 日本語教育日本語を教えるのがやっぱり好きなので日本語勉強している人の音役に立つと役に
立てれば嬉しいなということでこのポッドキャストを作りました 作っています今もねだからまあ趣味だからね
趣味でそのみんなの役に立てばいいなぁと思って作っているので基本的には無料 ですべての人が使えるポッドキャスト
これはもうね変えてませんえっと 今年ねペーパールのアカウントを作ってもしこのポッドキャスト気に入ってくれたら応援を
お願いします寄付をお願いしますっていうお願いはしていますが まあそれでね本当にいろんな人が
応援してくれて寄付もしてくれてね本当にありがたいんですけど ただその人たちだけが聞けるポッドキャストとかその人たちだけに何か特別なことを
しているというわけではないです あの寄付があってもなくても
関係なくね誰でもこのポッドキャストが楽しめるようにしています これは俺の趣味で作ってるからであってどうして作ったかっていうその理由が
日本語を勉強している人の役に立つと嬉しいっていうそれが理由だからですね まあこれからねあの
あのペーパールのアカウントを作った理由の一つでもありますが子どもの音教育とか あのいろいろ子育てに育児にお金がかかって大変だ
と状況が変わってしまったら 完全に無料ではなくちょっとねお金を取るコンテンツを作るかもしれませんが
まあ今のところねえっとこれが俺の趣味で やっていることです
はいじゃあ以上がね今回もらった質問の答えでした 前は簡単な話に簡単な日本語でこの話
趣味とかねそういったことをしましたが そっちと合わせて聞いてみるとね
いいんじゃないかなと思いますこのポッドキャストを聞き始めた時は n 5 n 4の簡単な日本語しかわからなかったけどずっと勉強を続けて今は n 2とか n 1とかねそういう日本語もわかるようになりましたっていう人がいたらねすごいですね
このポッドキャストと一緒にその聞いてくれている人の日本語も成長したってことで ね素晴らしいことですね
えっとこんな風にね昔作ったエピソードに関してもう1回同じ話をしてくれっていう そういうリクエストがねあるとね結構面白いんじゃないかなと思います
前と違うレベルで昔は難しい日本語で話してたけどこれをもう少し簡単な日本語で お願いしますとか前簡単な日本語で話してたことを今度はもう1回難しい言葉を使い
ながら話してくれとかそういうリクエストとかもね あの面白いと思うのでなんか希望があったらとりあえず連絡してみてください
すべてできるかはわかりませんがあのみんなでね一緒に楽しめるポッドキャストをつけ れたらいいなぁと思うので皆さんのご意見いろいろあると嬉しいです
さてじゃあ今日はこの辺で終わりにしたいと思いますえっとねちょっと最近ね忙しくて 皆さんのメールの返事とかメッセージの返事遅くなってしまっていますすみません
かいつもね全部メールもメッセージも読んでいます時間ができた時に返事は必ずします から
あのメールを送ったけど返事が来ないもしかしたら 日本語が下手でわからなかったかもなんて心配している人いたら大丈夫です安心して
くださいすべてちゃんと読んでいます返事も必ずしますが少しだけ 止まってくださいお願いします
はいじゃあ今日はこれで終わりにしたいと思います先ほどペーパーのアカウントの話が ちょっと出ましたがまたあのペーパーの url をね載せておきますのでもし気に入ったという方
いましたら少しでもいいので応援していただけると嬉しいです それじゃあまた次のエピソードでお会いしましょうさようなら
