ep. 225 - 趣味(N2)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:19) そんな人のために日本語教師の友がちょうどいい日本語で話をします さて8普通のエピソードちょっと久しぶりになってしまいましたすいません
(00:00:29) 8今日はですねまたリクエストをもらったのでそれにお答えしたいと思います うんとですねリクエストの内容は趣味について趣味たの俺の趣味
(00:00:40) なんかあの趣味ありますかっていう質問だったんですけど この話ね俺の趣味の話してこのポートキャストを作ったばかりの時にちょっとね話をした
(00:00:52) ことがあるんですよ ただねこのポートキャスト結構長いですよねもう2、3年前になっちゃったし
(00:01:00) あの前作った時はねレベルが結構簡単な方の日本語で話したので今日はね えっとそのこの3年間でね俺の趣味がどう変わったかっていうことと
(00:01:12) あのそれを交えながらねもう一度話をしたいと思います そして今回はちょっと難しい日本語で話すスピードも早くねちょっと難しい言葉も
(00:01:24) 使いながら話していきたいとおもいます じゃあですねまず
(00:01:28) えっと復習しましょうか 俺の趣味が何かっていうと
(00:01:34) まずはね運動ですね体を動かすのが好きなのでえっと 格闘技が好きですボクシングとかキックボクシングとかね
(00:01:45) あとはまあ漫画を読むのも好きですね漫画は本当に常に読んでます 最近は携帯でいろんな漫画が読めるのであのちょっとでも時間があるとねだいたい携帯
(00:01:58) で漫画読んでいると思います まあもちろん本読むのが好きなので漫画だけじゃなくてね
(00:02:04) あの他の本も読みますよ 日本語教育の話とかね日本語の先生なので日本語大好きです
(00:02:11) 日本語の本とかあとは言語教育言葉を教えるっていうね そういう本も読みますまあ仕事でも読みますが
(00:02:21) 半分以上趣味かなこれは自分が読んでて面白いと思うのでそういう本もね たくさん読みます
(00:02:30) まあこれがね俺の趣味なんですが 他にもねこれ趣味って言えるのかどうかわかんないけどお酒は好きですね
(00:02:38) お酒の話で今まで何回もしたことがありますが とにかく酒が好きなので
(00:02:44) 暇さえあれば酒を飲もうとする良くない先生ですね ってことでねまあこれがねあのざっくりとですけど俺の好きなことを趣味ですね
(00:02:56) じゃあねこのポートキャストを作り始めてからその辺がどう変わったかっていうとですね 運動はやっぱり好きなんだけど
(00:03:04) あの このね2年間3年間で子供が生まれてねー
(00:03:11) しかも2人生まれたんですよ ねびっくりですね
(00:03:16) 自分がね親になるなんて思ってもなかったんですけどね昔は気づいたら2人の子供が いてってそうするとやっぱりねなかなか自分の時間が取れなくて
(00:03:29) 運動を全然しなくなっちゃいましたね 本当昔はね
(00:03:34) あの結婚したばかりの時なんかは 週5
(00:03:39) とかね結婚する前なんかは収録週7週7ってもう毎日だね 毎日のように運動してたんですけど今は全然しなくなりました
(00:03:50) もうね体が生って 本当に
(00:03:54) ブヨブヨです 筋肉が全然なくなってね脂肪ばかりになっちゃって本当に普通のおっさんの体好きになっちゃ
(00:04:02) いましたね 昔はねやっぱり運動をすごいしてた頃は
(00:04:07) 誰から見てもねいい体してますねみたいなそんな体をしてたと思うんですけど 今はそれが全然なくなっちゃいました普通の人になっちゃいました
(00:04:18) んでヘッド まあね子供がねあの大きくなったら時間に余裕ができたらねまたやりたいなとは思います
(00:04:25) がちょっとそこがね俺の趣味で変わっちゃったとこですね で8好きなこと漫画はねやっぱり今でも
(00:04:33) あの携帯で漫画読めますからねちょっとでも時間があれば漫画は読んでます ここは継続してしている趣味
(00:04:41) あんまりいい趣味じゃないかもしれないけどね 本もまあそれなりに読んでますが
(00:04:47) 漫画よりもね本読む時間はすごく少なくなりましたね やっぱりねその言語教育の話なんかは難しいから頭をすごい使うんですよね
(00:04:59) である程度まとまった時間がないと内容が頭に入ってこないから まとまった時間取れたら読みたいなーっていう本は
(00:05:07) あの 時々ね買うんですけどなかなか読めずにねそのまま買ったままになっちゃってます
(00:05:15) で後はまあまとまった時間取れたとしてもさっきお酒の話をしましたけどね お酒は飲みます
(00:05:24) なのでねお酒飲んでる時に難しい本と読めないんですよね 読んでもやっぱり頭がうまく働かないからなかなか読み進まないかなぁと
(00:05:35) ってことでねあの本を読む時間がちょっと減っちゃいましたね で8酒とか漫画とかそういうあまり良くない趣味は
(00:05:43) 趣味そうだね趣味だねそれはねずっと続いてますね ただね酒はねちょっとね最近減らしてます
(00:05:53) この 1233ヶ月はまだ経ってないかなまあこの2ヶ月くらいねちょっと
(00:06:02) 酒飲みすぎてやばいかなと思ってあんまりね飲まないようにしてます 8あんまり飲まないっていうのは具体的に言うと
(00:06:11) 仕事翌日仕事がある平日は飲まない まあつまり月下水木ですね週に4日飲まないようにしてます
(00:06:21) ただ祝日があると飲みますけど だから酒飲むのがね1週間に23日ぐらいだったらそんなに健康にもね問題はない
(00:06:29) かなと思うのでちょっとね頑張ってそこは減らしてます 頑張って減らしてるんです頑張らないとつい飲んじゃうからすごい頑張ってます
(00:06:39) 飲みたいけどめちゃくちゃ我慢してます ってことでねこの辺がねあの俺の趣味ですね
(00:06:47) あの運動と本が好きだけど運動は時間がない あとは酒が好きで本は漫画は読むけど他の本はちょっと読まなくなっちゃいました
(00:06:58) お酒は今でも好きだけど飲む量がねちょっと あの少なくなってます頑張って減らしてます
(00:07:06) なんかこうやって聞くとあれだね運動しないし酒は飲んでるけどでも 体に気を使って健康のために減らしてるっていうのが
(00:07:16) すごい 年を取ったなって感じがしますね
(00:07:20) ねえなんかすごいおじいさんって感じだね まあ子供も生まれればねおじいさんになりますよね
(00:07:29) ってことではいあの俺のね趣味の話でした あとねまあこのポッドキャストも趣味の一つではありますね
(00:07:36) えっともう一つ質問があってどうしてこのポッドキャストを作ったんですかっていう ねそんな質問でした
(00:07:46) まあ趣味ですよ趣味 日本語教育日本語を教えるのがやっぱり好きなので日本語勉強している人の音役に立つと役に
(00:07:53) 立てれば嬉しいなということでこのポッドキャストを作りました 作っています今もねだからまあ趣味だからね
(00:08:02) 趣味でそのみんなの役に立てばいいなぁと思って作っているので基本的には無料 ですべての人が使えるポッドキャスト
(00:08:11) これはもうね変えてませんえっと 今年ねペーパールのアカウントを作ってもしこのポッドキャスト気に入ってくれたら応援を
(00:08:20) お願いします寄付をお願いしますっていうお願いはしていますが まあそれでね本当にいろんな人が
(00:08:28) 応援してくれて寄付もしてくれてね本当にありがたいんですけど ただその人たちだけが聞けるポッドキャストとかその人たちだけに何か特別なことを
(00:08:39) しているというわけではないです あの寄付があってもなくても
(00:08:45) 関係なくね誰でもこのポッドキャストが楽しめるようにしています これは俺の趣味で作ってるからであってどうして作ったかっていうその理由が
(00:08:55) 日本語を勉強している人の役に立つと嬉しいっていうそれが理由だからですね まあこれからねあの
(00:09:04) あのペーパールのアカウントを作った理由の一つでもありますが子どもの音教育とか あのいろいろ子育てに育児にお金がかかって大変だ
(00:09:16) と状況が変わってしまったら 完全に無料ではなくちょっとねお金を取るコンテンツを作るかもしれませんが
(00:09:26) まあ今のところねえっとこれが俺の趣味で やっていることです
(00:09:32) はいじゃあ以上がね今回もらった質問の答えでした 前は簡単な話に簡単な日本語でこの話
(00:09:41) 趣味とかねそういったことをしましたが そっちと合わせて聞いてみるとね
(00:09:47) いいんじゃないかなと思いますこのポッドキャストを聞き始めた時は n 5 n 4の簡単な日本語しかわからなかったけどずっと勉強を続けて今は n 2とか n 1とかねそういう日本語もわかるようになりましたっていう人がいたらねすごいですね
(00:10:04) このポッドキャストと一緒にその聞いてくれている人の日本語も成長したってことで ね素晴らしいことですね
(00:10:14) えっとこんな風にね昔作ったエピソードに関してもう1回同じ話をしてくれっていう そういうリクエストがねあるとね結構面白いんじゃないかなと思います
(00:10:25) 前と違うレベルで昔は難しい日本語で話してたけどこれをもう少し簡単な日本語で お願いしますとか前簡単な日本語で話してたことを今度はもう1回難しい言葉を使い
(00:10:37) ながら話してくれとかそういうリクエストとかもね あの面白いと思うのでなんか希望があったらとりあえず連絡してみてください
(00:10:46) すべてできるかはわかりませんがあのみんなでね一緒に楽しめるポッドキャストをつけ れたらいいなぁと思うので皆さんのご意見いろいろあると嬉しいです
(00:10:57) さてじゃあ今日はこの辺で終わりにしたいと思いますえっとねちょっと最近ね忙しくて 皆さんのメールの返事とかメッセージの返事遅くなってしまっていますすみません
(00:11:08) かいつもね全部メールもメッセージも読んでいます時間ができた時に返事は必ずします から
(00:11:16) あのメールを送ったけど返事が来ないもしかしたら 日本語が下手でわからなかったかもなんて心配している人いたら大丈夫です安心して
(00:11:26) くださいすべてちゃんと読んでいます返事も必ずしますが少しだけ 止まってくださいお願いします
(00:11:33) はいじゃあ今日はこれで終わりにしたいと思います先ほどペーパーのアカウントの話が ちょっと出ましたがまたあのペーパーの url をね載せておきますのでもし気に入ったという方
(00:11:44) いましたら少しでもいいので応援していただけると嬉しいです それじゃあまた次のエピソードでお会いしましょうさようなら
