ep. 226 - レンタカー(N3)

ん
ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日のリクエストはレンタカーについての質問です
えっとねレンタカーというのは 車を借りることなんですけど
車を持っていない人が1日だけ旅行とかどこかに出かけるときに車に乗りたい というときに
あの車をね借りることができるサービスそれがレンタカーと言います まあ俺もレンタカー使ったことないんですけどね俺が住んでいるところは田舎だから
あの 電車がね電車とかバスがあまりないので車がないと
あの生活がとても不便なので俺はずっと自分の車に乗っているんですけど でも東京とかね電車がたくさんあって交通がとても便利なところでは自分の車が
なくても普段の生活は全然困らないから だからそういうところに住んでいる人がね
あの1日だけ旅行に行くとかあとは学生とかですね 学生はやっぱり
あの働いていませんからねアルバイトはしてるけど働いていませんから 自分の車を持つのは
経済的にちょっと大変なのでだからねあの 友達と旅行に行きたいっていう時にはレンタカーを借りる人が結構多いんじゃないかなと
思います でそのレンタカーのサービスなんですが
えっと日本人だけじゃなくて外国の人もね 日本に旅行に来た時に利用ができます
のでその使い方使い方というかレンタカーの 言葉ですねそれについて質問ですね
どんな質問だったかというと乗り捨てというのは何ですかと 乗り捨てとあとはえっと借りた店舗に返却店舗返却ですね
その度と2つは何が違うんですかという質問でしたが これはね覚えておくといいですねあの旅行の計画が立てやすいというか
これを知らないと旅行の計画立てられませんね 8レンタカーというのは普通は
あの借りたお店にもう一度返します だから例えば東京の
じゃあ東京駅の近くとかねあとはまあ外国から来るなら 羽田とか成田とかその近くで車を借りたらその借りた同じ店にもう一度ね
車を使い終わったら 同じ店に行ってそこに車を返さなければなりません
が あの
例えばね東京から 大阪まで車で旅行をしたいと思っている人がいたらね
東京から大阪まで車で長い時間をかけて途中でいろいろなところに寄ったりね 少し違うところに行って遊んだりしながら
車で大阪まで行ってそして また車で東京まで帰るの大変ですよね
だからそういう時には乗り捨てと言って東京で借りた車を大阪で返すことができます それがね乗り捨てっていう借り方なんです
乗り捨てじゃなくてワンウェイって言ってるお店なんかもありますね
で8この返し方なら東京から大阪まで行ってね 車は大阪で返してそして旅行が終わって自分の国に帰る時には
大阪の空港から飛行機に乗ったりとか あとは
大阪からねあの車で東京まで戻るのは大変だから車は大阪に置いといて 大阪で返してそして自分は飛行機とか新幹線で東京まで戻るとか
そういうね旅行の仕方もできます それが乗り捨ての使い方です
旅行ではねやっぱりあの 電車とかねバスとかで移動する人が多いとは思うんですが
あの 東京みたいに
ねっ 電車が多いところだったらそれでいいんですよ
ただちょっとね田舎の方とか あの自然がたくさんあるところに旅行に行ってみたいという人はやっぱり電車だけだと
ね不便なんですよね 俺の住んでいるところもひどい時は1時間に1回しか電車が来ないとかね
そういうことありますからそれだと旅行の計画を立てるのが大変ですよね なのでいつでも好きな時間に
移動ができるそういう車があると便利なので レンタカーってねとても良いサービスですね
ってことでね今日はこの質問に答えてみましたちょっと短い話になりましたが とりあえずねリクエストのまあリクエストというかね質問には答えました
どうでしょうあの レンタカーの言葉乗り捨てとは乗り捨てとかワンウェイとかですね
意味がわかったでしょうかそして旅行での活用の仕方わかったでしょうか ちなみにこのリクエストは韓国の方からいただきました
韓国の方からの音リクエストって実は初めてなんですよ メールでいただいたんですけどあの
ポートキャスト聞いてくれているということでとても嬉しいですね いろいろな国の人が聞いてくれて本当に嬉しいです
あの聞いてくれてありがとうございますそしてリクエストもしてくれてねありがとうございました では今日はこの辺で終わりにしたいと思いますが皆さんもね何か聞いてみたいこととか
あったらぜひぜひメッセージとかメールを送ってください はいじゃあまた次のエピソードでお会いしましょうさようなら
