ep. 227 - 

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日はえっとねリクエストで 日本のあの伝統的な文化についての質問が来たのでね
それに答えたいと思います まあ質問っていうかあの
お願いというかね 日本の昔からある行事の一つで恋のぼりというのがあります
行事っていうかあの あれですね子供の日にすることですね
恋のぼりというのはね何かというとですね 恋って魚の名前なんですよ
でその魚の形をしたものを あの
長い棒につけてそして あの風でね動くようにして風が来るとその恋が空を泳いでるように見せる
それがね恋のぼりというもので あの子供の日にそれを外に飾るというそういう日本の伝統的な文化があります
じゃあこの恋のぼりというのはなぜやるのかっていうと 昔からね子供はあのとても大切なもので
あの元気に強く育ってほしいというそういう親の あの気持ちがねずっとあったんですよ
んで恋っていうのは これはねえっと中国の話かな中国の昔の話で恋が
滝を登っていくと滝っていうのは山の中にある高いところから水が落ちるところですね その恋が滝を登っていってそして一番上まで登ったら
恋が竜になった竜っていうのはドラゴンですね その竜になったという
昔の話があるので それで恋は
もともと魚だけどあの最後にはとても大きくて強い 竜になることができるという
そういうねあのいい話がある魚だから 子供もね自分の子供も恋みたいに
いつかすごくねあの 強い人すごい人になれるようにというそういう親の
お願いをするのに恋が使われていたんです だからねあの子供の日に恋登りその恋の形をしたものをね外に出して
あの子供が 大きく強く元気に育ちますようにというお願いをしていました
そしてそれだけじゃなくて子供の日にはねあの別のこともします 恋登りは外に出すものなんですけど家の中に飾るものもあります
家の中に飾るものは兜です えっとね
兜っていうのは 頭にかぶるものなんですけど帽子みたいにかぶるんですがこれは戦争の時
昔の戦争ですねその時に頭を守るものですね 今だったらヘルメットみたいな
あの頭を守る そういうものが兜と言います
でえっとねこの家の中に飾るものは最近だとね 多分兜が多いと思うんですけどでも兜っていうのは頭にかぶるものですね
戦争の時に頭だけを守っていてはいけませんね 体を守るものもあります
体を守るのは鎧と言います兜だけじゃなくてこの鎧とか あとは戦争の時に使うものは昔の戦争ですからね
あの日本だと刀とかあとは弓と矢ですね こういうものを全部一緒に飾ってそして
あの 子供がね
大きくなった時にとても強い人になるようにというお願いをしていました この兜とか鎧とかこういうのを5月人形と言います
5月人形ってまぁ5月にね5月の子供の日に家の中に飾るものだから だからまぁ5月人形って言うんだと思うんですけど
