ep. 228 - 秋(N4)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
今日は日本の秋の話をします 日本は季節が4つあります多分それはね皆さんも知っていると思います
春夏秋冬ですね 8もうすぐ10月ですねなので夏がだんだん終わりで秋になります
日本の秋と言ったら皆さんはどんなことを考えますか 春とかはわかりやすいですね春はやっぱり日本は桜が有名ですし
夏はお祭りが多いですね 冬はね日本は雪が降る国なので北海道の雪祭りとかとても有名ですね
じゃあ 秋は
何でしょう 何が有名でしょう
結構秋に有名なものって何があるのかを知らない人も多いんじゃないかなと思うんですよ
なのでね今日は日本の秋といえば 何があるかそんな話をしたいと思います
まず皆さんに聞いてもらいたいのは 秋といえばこの音という音があります
それは何かというと虫の声です 前回の
あのポッドキャストのエピソードとあとは多分ね今も あの小さい音ですけど聞こえるかもしれませんが
俺が話している後ろで 虫の音が聞こえます
えっとねこれはね鈴虫という虫なんですけど 楽器みたいな高い音でずーっとね
俺の後ろで あの
リンリンリンリンっていう感じの音がね聞こえるんですよ どうでしょう聞こえるでしょうか
今俺にはねすごくよく聞こえてるんですけどこの虫の声というのが 秋にしかないものですね
秋になるといろいろな虫がこうやってたくさん声を出します 虫は口から声を出すわけじゃないんですけどね
その虫の音を虫の声と言います この虫の声はあの
自分の 仲間を呼ぶためとかねあとはメス
メスっていうのは人で言う女の人ですね 虫の女の子を呼ぶためとかいろいろな理由があるんですけど
この秋になると虫の声がいろいろ聞こえます
虫の声はね夜あのよく聞こえますね 夜だとだんだん周りも静かになるのでそれでねよく聞こえます
秋の音といえばまずはこの虫の声です 外国の人はこの虫の声がねうるさいと思う人もいるみたいですが
日本人はね多分あまりね気にしません あまりうるさいとは思わないでうるさいんじゃなくてあの
いい音だと 秋しか聞けない綺麗な音だと考える人も多分たくさんいると思います
あとはね日本では秋にすることっていうのがたくさんあります 俺はね
あの最初に思いつくのは 食欲の秋ですね
秋というのは 夏みたいに暑くないけどでも冬みたいに寒くない
だからいろいろなことをするのに一番ちょうどいい季節だと言われます そして秋は美味しい食べ物もたくさんあります
だから食欲の秋とかスポーツの秋 読書の秋などいろいろな秋の言葉があります
食欲の秋っていうのはあの食欲 食欲はね食べたい気持ちのことです
だから食欲の秋っていうのは美味しいものをたくさん食べる秋という意味です 秋に美味しいものってねいろいろあるんですけど
キノコとかあとは魚とかね 秋になると美味しくなる食べ物がたくさんあります
まあ日本はねあのどの季節でも美味しい食べ物はありますけどね あとはスポーツの秋はねその外がだんだん暑くなくなるから
いろいろなスポーツができるようになってそれでみんなで スポーツをする人が多くなるっていうことなんですけど
まあ俺はあんまりこれ関係ないかな 季節関係なくスポーツしますからね
俺が好きなスポーツってだいたいあの建物の中でするスポーツなので あとは読書の秋とかもねあの涼しくなって気持ちがいいから
本を読むのもいいとかそういう意味なんですけど 読書というのは本を読むことですね
まあ俺はそうだね漫画を読むけど 漫画は
これもね季節を季節関係なく読むので俺はあまり読書の秋は関係ないですね なので俺にとって一番
関係があるのはやっぱり食欲の秋ですね美味しいものを食べるのは大好きです
ってことでねあの日本人が考える秋っていうのはその虫の声とかあとはいろいろな 秋ですね
暑くないしあの寒くないからいろんなことができるっていうそういう秋 あとは他にもねあの今年のはもう終わっちゃいましたけどお月見とかもあります
お月見っていうのは月を見ます 空にある月ですね
秋に月が丸くなる日があります まあ毎月あるんですけどその秋の
あの9月ぐらいですね9月の終わりとかそのぐらいに 満月って言うんですけどね月が丸くなるのその満月がとても綺麗な日があって
それを見るのをお月見と言います まあお花見と同じですね花を見るのが花見
ですから月を見るのが月見です これもねやっぱり日本人が考える秋のイベントの一つですね
お月見は花見みたいにねあのみんなで集まってたくさんお酒飲んだり あのパーティーみたいなことをしたりっていうのはないんですけど
まあ結構ねあの家の中で家族だけでするとかそういう人が多いとは思いますが お月見の時は団子を買ってそしてその団子を
あの 置いておくっていうそういう文化もあります
まあ俺は置くんじゃなくて食べますけどね 団子っていうのは日本のお菓子のことです
はいじゃあこんな風に日本にはいろいろな秋があります あんまり旅行ではねあの
聞かない話じゃないかなと思います旅行に来る人が日本の秋で考えるのはやっぱり 紅葉ですよね
紅葉がとても綺麗だからあの山に紅葉を見に行くっていう人が多いと思います でもそれ以外のことはあまり知られてないかもしれないので
日本の秋いろんな秋がありますから皆さんもねもし日本に来たら いろいろな日本の秋を探してみてください
はいじゃあ今日は日本の秋についてお話ししました 日本は4つの季節があってその全部の季節楽しむことができますから
皆さんも日本に旅行に来ることができるようになったら ぜひ全部の季節に日本に来てそしていろいろな日本を楽しんでください
はいじゃあ今日はこの辺で終わりにしたいと思います またペイパルを載せておくので応援してくださる方いましたら
ぜひお願いします それではまた次のエピソードでお会いしましょうさようなら
