ep. 228 - 秋(N4)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:17) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:28) 今日は日本の秋の話をします 日本は季節が4つあります多分それはね皆さんも知っていると思います
(00:00:39) 春夏秋冬ですね 8もうすぐ10月ですねなので夏がだんだん終わりで秋になります
(00:00:50) 日本の秋と言ったら皆さんはどんなことを考えますか 春とかはわかりやすいですね春はやっぱり日本は桜が有名ですし
(00:01:01) 夏はお祭りが多いですね 冬はね日本は雪が降る国なので北海道の雪祭りとかとても有名ですね
(00:01:13) じゃあ 秋は
(00:01:16) 何でしょう 何が有名でしょう
(00:01:20) 結構秋に有名なものって何があるのかを知らない人も多いんじゃないかなと思うんですよ
(00:01:32) なのでね今日は日本の秋といえば 何があるかそんな話をしたいと思います
(00:01:41) まず皆さんに聞いてもらいたいのは 秋といえばこの音という音があります
(00:01:50) それは何かというと虫の声です 前回の
(00:01:56) あのポッドキャストのエピソードとあとは多分ね今も あの小さい音ですけど聞こえるかもしれませんが
(00:02:06) 俺が話している後ろで 虫の音が聞こえます
(00:02:12) えっとねこれはね鈴虫という虫なんですけど 楽器みたいな高い音でずーっとね
(00:02:20) 俺の後ろで あの
(00:02:24) リンリンリンリンっていう感じの音がね聞こえるんですよ どうでしょう聞こえるでしょうか
(00:02:32) 今俺にはねすごくよく聞こえてるんですけどこの虫の声というのが 秋にしかないものですね
(00:02:44) 秋になるといろいろな虫がこうやってたくさん声を出します 虫は口から声を出すわけじゃないんですけどね
(00:02:56) その虫の音を虫の声と言います この虫の声はあの
(00:03:04) 自分の 仲間を呼ぶためとかねあとはメス
(00:03:09) メスっていうのは人で言う女の人ですね 虫の女の子を呼ぶためとかいろいろな理由があるんですけど
(00:03:17) この秋になると虫の声がいろいろ聞こえます
(00:03:22) 虫の声はね夜あのよく聞こえますね 夜だとだんだん周りも静かになるのでそれでねよく聞こえます
(00:03:33) 秋の音といえばまずはこの虫の声です 外国の人はこの虫の声がねうるさいと思う人もいるみたいですが
(00:03:44) 日本人はね多分あまりね気にしません あまりうるさいとは思わないでうるさいんじゃなくてあの
(00:03:54) いい音だと 秋しか聞けない綺麗な音だと考える人も多分たくさんいると思います
(00:04:02) あとはね日本では秋にすることっていうのがたくさんあります 俺はね
(00:04:10) あの最初に思いつくのは 食欲の秋ですね
(00:04:16) 秋というのは 夏みたいに暑くないけどでも冬みたいに寒くない
(00:04:24) だからいろいろなことをするのに一番ちょうどいい季節だと言われます そして秋は美味しい食べ物もたくさんあります
(00:04:34) だから食欲の秋とかスポーツの秋 読書の秋などいろいろな秋の言葉があります
(00:04:45) 食欲の秋っていうのはあの食欲 食欲はね食べたい気持ちのことです
(00:04:53) だから食欲の秋っていうのは美味しいものをたくさん食べる秋という意味です 秋に美味しいものってねいろいろあるんですけど
(00:05:04) キノコとかあとは魚とかね 秋になると美味しくなる食べ物がたくさんあります
(00:05:12) まあ日本はねあのどの季節でも美味しい食べ物はありますけどね あとはスポーツの秋はねその外がだんだん暑くなくなるから
(00:05:24) いろいろなスポーツができるようになってそれでみんなで スポーツをする人が多くなるっていうことなんですけど
(00:05:31) まあ俺はあんまりこれ関係ないかな 季節関係なくスポーツしますからね
(00:05:37) 俺が好きなスポーツってだいたいあの建物の中でするスポーツなので あとは読書の秋とかもねあの涼しくなって気持ちがいいから
(00:05:50) 本を読むのもいいとかそういう意味なんですけど 読書というのは本を読むことですね
(00:05:58) まあ俺はそうだね漫画を読むけど 漫画は
(00:06:04) これもね季節を季節関係なく読むので俺はあまり読書の秋は関係ないですね なので俺にとって一番
(00:06:13) 関係があるのはやっぱり食欲の秋ですね美味しいものを食べるのは大好きです
(00:06:20) ってことでねあの日本人が考える秋っていうのはその虫の声とかあとはいろいろな 秋ですね
(00:06:28) 暑くないしあの寒くないからいろんなことができるっていうそういう秋 あとは他にもねあの今年のはもう終わっちゃいましたけどお月見とかもあります
(00:06:40) お月見っていうのは月を見ます 空にある月ですね
(00:06:47) 秋に月が丸くなる日があります まあ毎月あるんですけどその秋の
(00:06:56) あの9月ぐらいですね9月の終わりとかそのぐらいに 満月って言うんですけどね月が丸くなるのその満月がとても綺麗な日があって
(00:07:08) それを見るのをお月見と言います まあお花見と同じですね花を見るのが花見
(00:07:16) ですから月を見るのが月見です これもねやっぱり日本人が考える秋のイベントの一つですね
(00:07:26) お月見は花見みたいにねあのみんなで集まってたくさんお酒飲んだり あのパーティーみたいなことをしたりっていうのはないんですけど
(00:07:37) まあ結構ねあの家の中で家族だけでするとかそういう人が多いとは思いますが お月見の時は団子を買ってそしてその団子を
(00:07:49) あの 置いておくっていうそういう文化もあります
(00:07:54) まあ俺は置くんじゃなくて食べますけどね 団子っていうのは日本のお菓子のことです
(00:08:01) はいじゃあこんな風に日本にはいろいろな秋があります あんまり旅行ではねあの
(00:08:08) 聞かない話じゃないかなと思います旅行に来る人が日本の秋で考えるのはやっぱり 紅葉ですよね
(00:08:17) 紅葉がとても綺麗だからあの山に紅葉を見に行くっていう人が多いと思います でもそれ以外のことはあまり知られてないかもしれないので
(00:08:30) 日本の秋いろんな秋がありますから皆さんもねもし日本に来たら いろいろな日本の秋を探してみてください
(00:08:40) はいじゃあ今日は日本の秋についてお話ししました 日本は4つの季節があってその全部の季節楽しむことができますから
(00:08:49) 皆さんも日本に旅行に来ることができるようになったら ぜひ全部の季節に日本に来てそしていろいろな日本を楽しんでください
(00:09:01) はいじゃあ今日はこの辺で終わりにしたいと思います またペイパルを載せておくので応援してくださる方いましたら
(00:09:09) ぜひお願いします それではまた次のエピソードでお会いしましょうさようなら
