ep. 229 - 日本語でのいろいろな挨拶(N2)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうだい日本語で話をします はいじゃあ今日のリクエストは
なんと通訳の方からいただきました日本語の通訳の仕事をしている人だそうです そんな上手な人にねリクエストをもらうなんてちょっと緊張しますね
えっとね同一の方です ドイツからのリクエストも確か初めてだったかな
最近ねいろんな国の人にリクエストもらえて本当嬉しいですね 8でリクエストどんなのかっていうとその通訳の仕事をされているそうなんですが
日本からの来客の時の挨拶でえっとね英語だったらまあいろんな表現があるんだけど 日本語だとどんな風に言えばいいんですかっていうねそんな質問でした
で英語のいろんな挨拶が書いてあるからこの 挨拶をね日本語で言ったら
どうなるんでしょうという直訳はできるけどそのままね あの全部日本語に直すことはできるけどそれだとちょっと不自然じゃないかなっていうことで日本人
ならねどんな自然な表現があるんですかっていうことです えっとねじゃあねその例えばこういう挨拶ということで英語でいくつか
あの例をもらったのでねそれを日本語で表現してみたいと思います えっとね
まあドイツの方なので日本からの来客だったらもちろん飛行機できますよねってことで あの
そのへ飛行機で来た人に対してお客様いらっしゃった時に ジジハベグッドフライっていうのをあの
日本語で言ったらどうなるか なるほどね難しいねえ
えっとフライ えっとね飛行機で飛行機に乗ることねフライトって日本語でもカタカナで言いますので
まああの 直訳すると
いいフライトでしたかっていうことですね そうだね確かにこれ直訳すると
変な感じがしますねそのままは日本人は使わないかもしれませんね そうだねいいフライトでしたかはちょっと変だから
まあフライトお疲れ様でした みたいな感じになっちゃうかなフライトお疲れ様だと変だな
8 長時間のフライトお疲れ様でした
みたいに言うとねいいかもしれませんね でそれだとそのウェルカムの意味がないのでようこそいらっしゃいましたとか
遠いところをわざわざお越しいただいてありがとうございます っていうことを言ってからその後であの長時間のフライトお疲れ様でしたとか
あの長旅大変でしたねっていうことを言うといいかなと思います 8他にはそうですね違うあの挨拶のフレーズでいくつか例が上がってますが
えっとねまずはウェルカムを使った表現ですねウェイカンプー青カンパニー これは
ほんとねほとんど直訳でもいいんじゃないかなと思いますが あの我が社にようこそいらっしゃいました
っていう感じでねいいんじゃないですかね 私たちの会社に言って言うと
そうだなぁ ちょっとこう
外国語の直訳感が出ちゃうかな でもまあこれはほとんど直訳でもねいいんじゃないですかね
あの日本からね遠いところからわざわざ私たちの会社に来てくれてありがとう っていうことですよね
なのでまあウェルカムの意味でようこそいらっしゃいましたっていうふうに言えば大丈夫 じゃないかと思います
8 で他のはですねその次ウェイアーハッピーツーはカムニューシェア
なるほどね
ブーブーそうだね直訳だとやっぱり変ですね あなたたちをここであのここに歓迎することができて迎え入れることができて幸せ
です そんなことは日本語では言わないねー
じゃあこの場合日本語で何て言うかな うんと俺も今今考えてるから時間かかってますすいません
そうですねあのお越しいただけて嬉しいです っていうような表現だといいんじゃないですかね
あのわざわざ日本から私たちのところまでお越しいただけて本当にありがとうございます とかね
まあこのハッピーはね嬉しいですっていう言葉を使えばいいんじゃないかなと思うので まあさっきみたいな表現がいいかなぁと
そうですねあとはまあウェルカムを 表現の中に入れるとねそうだね
ウェルカムってやっぱり日本語にない言葉だからね難しいね うんと
お客様まああなたを ね我が社に
ご招待できて 嬉しいですとか
まあそんなところですかね
まあウェルカムそうだねウェルカムってやっぱりなかなかね訳せないからカタカナで カタカナでねウェルカムっていう風に使う場合なんかもやっぱりありますからね
ってことでまぁこれが2つ目の表現でこんなんでいいのかなすいませんねなんか じゃあ3つ目行ってみましょうか3つ目はね
ハワジアフライト これもねほとんど直訳でいいんじゃないですかね
フライトはどうでしたかという感じでいいと思います まあこれは挨拶っていうよりもあの挨拶じゃなくてね挨拶が終わった後の雑談
という感じですね だからまあ挨拶として使うのはちょっと変だと思います
挨拶は挨拶であのさっき言ったようなわざわざ遠いところをお越しいただいてありがとうございます 我が社にようこそいらっしゃいました
っていうね挨拶をしてからその後であの多分ね その
日本のお客さんも今日はよろしくお願いしますとかいろんな挨拶をしてくると思うので で一通り挨拶が終わってから
いや長旅本当にお疲れ様でしたフライトはどうでしたかっていう感じでつなげていくといいん じゃないかなと思います
じゃあその次ですねえっと最後は えっとこれはお客様が帰るときかなハベグッドファイアーブグッドフライトホームですね
えっと
これもそうだね直訳はちょっと難しいね まあ
お気をつけてお帰りくださいっていうのはねどんな時でも結構使いますから そのバリエーションでいけばいいかな
やっぱりこの 英語ではねハベグッっていうハベグッなんとかっていう表現をよく使うと思うん
ですけど 日本語にはない言い方ですよねこれなので難しいね
だからやっぱりその別れの挨拶としてはお気をつけてお帰りくださいっていうその 系統から攻めていくといいんじゃないかなと思います
んでこれはドイツから日本に帰る人ですよね お気をつけてお帰りくださいうんと
そのままだとやっぱりちょっとねー 簡単すぎる感じはしますねー
どうしようかなあーちょっと難しいなぁこれ俺だったらなんていうかな 8ねー
あーダメだこれなんか出てこないどうしよう俺日本人なのにこれ一番難しいなぁ えっとねー
ハベグッフライトホームそのまんまではやっぱりまずいから あのお気をつけてお帰りくださいにプラスであの最初にね
帰りもあの長時間のフライトで大変だと思いますが お気をつけてお帰りくださいとかね
そんな感じの表現を使えるといいんじゃないですかね 今のがやっぱり
俺としてはね自然な言い方になったんじゃないかなと思います はいじゃあこれでとりあえずねそのメールでいただいた挨拶
全部日本語で言ってみました 意外とあの直訳できるのもまあありますね
8ただその日本語にはないそのウェルカムだとか ハベグッドなんとかっていうのは
