ep. 229 - 日本語でのいろいろな挨拶(N2)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:18) そんな人のために日本語教師の友がちょうだい日本語で話をします はいじゃあ今日のリクエストは
(00:00:26) なんと通訳の方からいただきました日本語の通訳の仕事をしている人だそうです そんな上手な人にねリクエストをもらうなんてちょっと緊張しますね
(00:00:37) えっとね同一の方です ドイツからのリクエストも確か初めてだったかな
(00:00:43) 最近ねいろんな国の人にリクエストもらえて本当嬉しいですね 8でリクエストどんなのかっていうとその通訳の仕事をされているそうなんですが
(00:00:55) 日本からの来客の時の挨拶でえっとね英語だったらまあいろんな表現があるんだけど 日本語だとどんな風に言えばいいんですかっていうねそんな質問でした
(00:01:07) で英語のいろんな挨拶が書いてあるからこの 挨拶をね日本語で言ったら
(00:01:14) どうなるんでしょうという直訳はできるけどそのままね あの全部日本語に直すことはできるけどそれだとちょっと不自然じゃないかなっていうことで日本人
(00:01:25) ならねどんな自然な表現があるんですかっていうことです えっとねじゃあねその例えばこういう挨拶ということで英語でいくつか
(00:01:35) あの例をもらったのでねそれを日本語で表現してみたいと思います えっとね
(00:01:42) まあドイツの方なので日本からの来客だったらもちろん飛行機できますよねってことで あの
(00:01:50) そのへ飛行機で来た人に対してお客様いらっしゃった時に ジジハベグッドフライっていうのをあの
(00:01:59) 日本語で言ったらどうなるか なるほどね難しいねえ
(00:02:05) えっとフライ えっとね飛行機で飛行機に乗ることねフライトって日本語でもカタカナで言いますので
(00:02:15) まああの 直訳すると
(00:02:19) いいフライトでしたかっていうことですね そうだね確かにこれ直訳すると
(00:02:27) 変な感じがしますねそのままは日本人は使わないかもしれませんね そうだねいいフライトでしたかはちょっと変だから
(00:02:35) まあフライトお疲れ様でした みたいな感じになっちゃうかなフライトお疲れ様だと変だな
(00:02:43) 8 長時間のフライトお疲れ様でした
(00:02:47) みたいに言うとねいいかもしれませんね でそれだとそのウェルカムの意味がないのでようこそいらっしゃいましたとか
(00:02:57) 遠いところをわざわざお越しいただいてありがとうございます っていうことを言ってからその後であの長時間のフライトお疲れ様でしたとか
(00:03:08) あの長旅大変でしたねっていうことを言うといいかなと思います 8他にはそうですね違うあの挨拶のフレーズでいくつか例が上がってますが
(00:03:22) えっとねまずはウェルカムを使った表現ですねウェイカンプー青カンパニー これは
(00:03:30) ほんとねほとんど直訳でもいいんじゃないかなと思いますが あの我が社にようこそいらっしゃいました
(00:03:40) っていう感じでねいいんじゃないですかね 私たちの会社に言って言うと
(00:03:46) そうだなぁ ちょっとこう
(00:03:49) 外国語の直訳感が出ちゃうかな でもまあこれはほとんど直訳でもねいいんじゃないですかね
(00:03:57) あの日本からね遠いところからわざわざ私たちの会社に来てくれてありがとう っていうことですよね
(00:04:04) なのでまあウェルカムの意味でようこそいらっしゃいましたっていうふうに言えば大丈夫 じゃないかと思います
(00:04:12) 8 で他のはですねその次ウェイアーハッピーツーはカムニューシェア
(00:04:19) なるほどね
(00:04:22) ブーブーそうだね直訳だとやっぱり変ですね あなたたちをここであのここに歓迎することができて迎え入れることができて幸せ
(00:04:35) です そんなことは日本語では言わないねー
(00:04:39) じゃあこの場合日本語で何て言うかな うんと俺も今今考えてるから時間かかってますすいません
(00:04:48) そうですねあのお越しいただけて嬉しいです っていうような表現だといいんじゃないですかね
(00:04:56) あのわざわざ日本から私たちのところまでお越しいただけて本当にありがとうございます とかね
(00:05:05) まあこのハッピーはね嬉しいですっていう言葉を使えばいいんじゃないかなと思うので まあさっきみたいな表現がいいかなぁと
(00:05:15) そうですねあとはまあウェルカムを 表現の中に入れるとねそうだね
(00:05:21) ウェルカムってやっぱり日本語にない言葉だからね難しいね うんと
(00:05:29) お客様まああなたを ね我が社に
(00:05:34) ご招待できて 嬉しいですとか
(00:05:39) まあそんなところですかね
(00:05:42) まあウェルカムそうだねウェルカムってやっぱりなかなかね訳せないからカタカナで カタカナでねウェルカムっていう風に使う場合なんかもやっぱりありますからね
(00:05:56) ってことでまぁこれが2つ目の表現でこんなんでいいのかなすいませんねなんか じゃあ3つ目行ってみましょうか3つ目はね
(00:06:03) ハワジアフライト これもねほとんど直訳でいいんじゃないですかね
(00:06:07) フライトはどうでしたかという感じでいいと思います まあこれは挨拶っていうよりもあの挨拶じゃなくてね挨拶が終わった後の雑談
(00:06:18) という感じですね だからまあ挨拶として使うのはちょっと変だと思います
(00:06:25) 挨拶は挨拶であのさっき言ったようなわざわざ遠いところをお越しいただいてありがとうございます 我が社にようこそいらっしゃいました
(00:06:34) っていうね挨拶をしてからその後であの多分ね その
(00:06:40) 日本のお客さんも今日はよろしくお願いしますとかいろんな挨拶をしてくると思うので で一通り挨拶が終わってから
(00:06:48) いや長旅本当にお疲れ様でしたフライトはどうでしたかっていう感じでつなげていくといいん じゃないかなと思います
(00:06:57) じゃあその次ですねえっと最後は えっとこれはお客様が帰るときかなハベグッドファイアーブグッドフライトホームですね
(00:07:07) えっと
(00:07:11) これもそうだね直訳はちょっと難しいね まあ
(00:07:17) お気をつけてお帰りくださいっていうのはねどんな時でも結構使いますから そのバリエーションでいけばいいかな
(00:07:27) やっぱりこの 英語ではねハベグッっていうハベグッなんとかっていう表現をよく使うと思うん
(00:07:35) ですけど 日本語にはない言い方ですよねこれなので難しいね
(00:07:41) だからやっぱりその別れの挨拶としてはお気をつけてお帰りくださいっていうその 系統から攻めていくといいんじゃないかなと思います
(00:07:50) んでこれはドイツから日本に帰る人ですよね お気をつけてお帰りくださいうんと
(00:07:57) そのままだとやっぱりちょっとねー 簡単すぎる感じはしますねー
(00:08:03) どうしようかなあーちょっと難しいなぁこれ俺だったらなんていうかな 8ねー
(00:08:09) あーダメだこれなんか出てこないどうしよう俺日本人なのにこれ一番難しいなぁ えっとねー
(00:08:17) ハベグッフライトホームそのまんまではやっぱりまずいから あのお気をつけてお帰りくださいにプラスであの最初にね
(00:08:28) 帰りもあの長時間のフライトで大変だと思いますが お気をつけてお帰りくださいとかね
(00:08:36) そんな感じの表現を使えるといいんじゃないですかね 今のがやっぱり
(00:08:42) 俺としてはね自然な言い方になったんじゃないかなと思います はいじゃあこれでとりあえずねそのメールでいただいた挨拶
(00:08:52) 全部日本語で言ってみました 意外とあの直訳できるのもまあありますね
(00:09:01) 8ただその日本語にはないそのウェルカムだとか ハベグッドなんとかっていうのは
(00:09:08) 難しいところですねあのよく使われるフレーズにプラスで何かの意味をつけていくとね いいんじゃないかなと思います
(00:09:17) はいじゃああの 俺日本語の先生だからね英語がそんなにできるわけじゃないからこれが完璧な役になった
(00:09:27) かどうかわかりませんが多分あの 今言ったような挨拶をすればそんなに悪い気分にはならないと思います多分ですけど
(00:09:38) まあ参考にねしてみてください はいじゃあ今日はなかなか俺もやってて面白かったですやっぱり英語と日本語ではね
(00:09:47) 表現が全然違うからあの直訳だと変だからなんて言おうってこの考えるのがね面白い ですね
(00:09:56) 皆さんも何かこういうねこんな時は日本人はどんな挨拶するんですかみたいなのあったら 質問してみてください
(00:10:04) はいじゃあ今日はこの辺で終わりにしたいと思います また皆さんも何かリクエストあったら送ってください
(00:10:10) あとペイパルまた載せておきますので応援してくださる方がいらっしゃいましたら 少しでもいいので寄付していただけると嬉しいですよろしくお願いします
(00:10:20) では次のエピソードでまたお会いしましょうさようなら
