ep. 230 - チップ(N2)

皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日もリクエストをいただきました今日のリクエストはチェコカラーですね
本当いろんな国の人が聞いてくれていてとても嬉しいですね えっとリクエストの内容はねチップについてです
チップって日本ではねそういう習慣があの今はね基本的にないんですけど 日本でねチップを渡すのはどうなんですかっていうそういうお話ですね
えっとじゃあね 結論から言うと日本のレストランとかではね
基本的にチップは渡しません 渡しませんし渡せないところも結構あると思います
なぜかというと日本のレストランてねだいたいね あの料金に最初からサービス料っていうのが含まれてます
サービス料っていうのはつまりサービスに対してのお金だから まあチップと同じですよね
だから日本のレストランてねあの チップのお金はもともと入ってるんですよ
だからあのチップを渡そうとしてもねもうサービス料入ってるからということで もしチップをもらったら二重にサービス料もらっちゃうのでそれで断ってるっていう店もね結構ある
と思います あとねレストランじゃなくて旅館とかだとね昔は結構あの
チップと同じですねお金を払うということはまあサービスが良かった時にお金を払う というかお金を渡すっていう習慣はあったんですけど
でもね今はねその習慣結構 少なくなっていると思います
やっぱりその旅館によっては完全にお金をもらうことを禁止してるっていうのもねある と思います
で8チップをね 禁止してるかどうかっていうのはあの店によって違うのでわからないと思います
なので わからないからまあどうしたらいいかなって悩む人もいると思いますがどうしてもね渡し
たかったら渡してみるといいと思いますよ あのもらうのが禁止されてるって言っても渡そうとすること自体は別に悪くない
ですね 渡そうとして家うちの店ではそういうのは受け取らないようにしてるんですって断ら
れたら あの渡さないでね
そのまま帰ればいいだけですからね で
あの お金を渡そうとすること自体は別に失礼ではないんですよ
あの 日本にチップの習慣ないとはいえそのサービスがすごく良かったからそれに対しての
お礼だっていうのはね日本人だってわかりますから あの
お金を渡すって言われたらそれはねすごくサービス良かったですって言われてるのと同じ だから嬉しいと思いますよ
ただ受け取ることができないのに無理やり渡そうとすると困っちゃうと思います なのでチップ渡そうとして受け取ってもらえたらそれでいいし
あのうちの店は受け取れないんですって言われたら あのお金じゃなくて改めてもう一度ね口で言葉であのサービスが良かったって
いうことに対してお礼を言ったりとかね そういうことをするといいんじゃないかなと思います
であの まあこれは日本国内の話ですね
これが外国だったらどうかつまり外国でお店を経営している日本人の店ですね だったらどうかっていう話になりますが
それはね日本の習慣じゃなくてその国の習慣に合わせた方がいいと思います というのもね俺が昔ねアメリカにあの旅行に行った時ね
アメリカってチップ文化あるんですけど あの日本人がやってるレストランがあったんですよ
でそこに行ってみたんですけど あの
チップはねみんな払ってましたね で日本人が
旅行に行ってその日本人のお店に行った時もみんなチップは払います でねその
そのお店でねちょっと面白いというか興味深いできることがあったんですけど 日本人の店だからもちろん日本人のお客さんが多いんですよ
で日本にはチップの習慣がないからその日本人のお客さんがね チップを払わないでお店を出ちゃったんですよ
そしたらねあのお店の人が あの人チップ払ってないよって言ってねちょっと騒いでたんです
つまり 相手が日本人だろうが日本料理の店だろうがアメリカという国だから
あのやっぱりチップはね必要なんですよ だから外国でお店やってる日本人の店だったらその国の習慣に合わせていいんだろうなと思います
ってことでねあのこれが日本のチップに対しての考え方でした さっきも言ったけど日本のお店でチップを渡そうとするのは
別に失礼ではないと思います ただちょっと注意したいのが日本ではねあの
お金を 相手にそのまま渡すのは失礼だっていう考えの人もいます
そこはちょっと注意した方がいいかもしれません えっと日本ではね落とし玉みたいにお金を送るっていう習慣はあります
あと他にも結婚式とかねそういう時もご主義って言ってあのお金は あの送ります
ただお金をそのままじゃなくて封筒に入れたりとかね あのあとはまあ何かのお礼だったら一言メッセージをつけたりとかね
そういうふうに渡すんですよだからお金そのままだとちょっとねー あのイメージ悪いかもしれません
だからどうしてもねあのチップを渡したいなって思ったら渡し方をねちょっと考えた ほうがいいかもしれませんね
机とかにそのまま付けじゃなくてテーブルかレストランでテーブルにお金を置いて きて
あの置いて何も言わないで出てきたなんていうとお店の人それ見た時にあの人はお金を 忘れていったのかもしれないと思ってお金を返すためにね
あなたのことを追いかけてくるかもしれません だからあのちゃんとね
袋とかに入れて小さいお金を入れる袋とかありますからね あと封筒とかに入れて直接渡したりとかするといいかなと思います
はいじゃあ以上チップに関してのお話でした 国が違うとねやっぱり文化とか習慣違うので戸惑うこともあるとは思いますが
あのさっきも言ったけどねチップって要するにお礼の気持ちだから ちょっと違う習慣を見せられて日本人がびっくりすることはあるかもしれませんが失礼だ
と思うことはねないと思うので あのチップを上げたいなと思ったら試してみてもいいと思いますよ
本当にただ上げ方だけ気をつけてくださいっていう話ですね じゃあ今日はこの辺で終わりにしたいと思いますがまた皆さんも何かね日本について聞いて
みたいこととかあったらぜひリクエストを送ってください あとまたいつも通りペーパーを載せておくのでもしよければ
あの少しでもいいので応援していただけると嬉しいです はいじゃあえっとまた次のエピソードでお会いしましょう
さようなら
