ep. 230 - チップ(N2)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:19) そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日もリクエストをいただきました今日のリクエストはチェコカラーですね
(00:00:29) 本当いろんな国の人が聞いてくれていてとても嬉しいですね えっとリクエストの内容はねチップについてです
(00:00:39) チップって日本ではねそういう習慣があの今はね基本的にないんですけど 日本でねチップを渡すのはどうなんですかっていうそういうお話ですね
(00:00:52) えっとじゃあね 結論から言うと日本のレストランとかではね
(00:00:59) 基本的にチップは渡しません 渡しませんし渡せないところも結構あると思います
(00:01:09) なぜかというと日本のレストランてねだいたいね あの料金に最初からサービス料っていうのが含まれてます
(00:01:20) サービス料っていうのはつまりサービスに対してのお金だから まあチップと同じですよね
(00:01:26) だから日本のレストランてねあの チップのお金はもともと入ってるんですよ
(00:01:32) だからあのチップを渡そうとしてもねもうサービス料入ってるからということで もしチップをもらったら二重にサービス料もらっちゃうのでそれで断ってるっていう店もね結構ある
(00:01:44) と思います あとねレストランじゃなくて旅館とかだとね昔は結構あの
(00:01:52) チップと同じですねお金を払うということはまあサービスが良かった時にお金を払う というかお金を渡すっていう習慣はあったんですけど
(00:02:02) でもね今はねその習慣結構 少なくなっていると思います
(00:02:08) やっぱりその旅館によっては完全にお金をもらうことを禁止してるっていうのもねある と思います
(00:02:18) で8チップをね 禁止してるかどうかっていうのはあの店によって違うのでわからないと思います
(00:02:26) なので わからないからまあどうしたらいいかなって悩む人もいると思いますがどうしてもね渡し
(00:02:33) たかったら渡してみるといいと思いますよ あのもらうのが禁止されてるって言っても渡そうとすること自体は別に悪くない
(00:02:43) ですね 渡そうとして家うちの店ではそういうのは受け取らないようにしてるんですって断ら
(00:02:50) れたら あの渡さないでね
(00:02:53) そのまま帰ればいいだけですからね で
(00:02:57) あの お金を渡そうとすること自体は別に失礼ではないんですよ
(00:03:04) あの 日本にチップの習慣ないとはいえそのサービスがすごく良かったからそれに対しての
(00:03:12) お礼だっていうのはね日本人だってわかりますから あの
(00:03:18) お金を渡すって言われたらそれはねすごくサービス良かったですって言われてるのと同じ だから嬉しいと思いますよ
(00:03:26) ただ受け取ることができないのに無理やり渡そうとすると困っちゃうと思います なのでチップ渡そうとして受け取ってもらえたらそれでいいし
(00:03:37) あのうちの店は受け取れないんですって言われたら あのお金じゃなくて改めてもう一度ね口で言葉であのサービスが良かったって
(00:03:46) いうことに対してお礼を言ったりとかね そういうことをするといいんじゃないかなと思います
(00:03:53) であの まあこれは日本国内の話ですね
(00:03:58) これが外国だったらどうかつまり外国でお店を経営している日本人の店ですね だったらどうかっていう話になりますが
(00:04:10) それはね日本の習慣じゃなくてその国の習慣に合わせた方がいいと思います というのもね俺が昔ねアメリカにあの旅行に行った時ね
(00:04:21) アメリカってチップ文化あるんですけど あの日本人がやってるレストランがあったんですよ
(00:04:27) でそこに行ってみたんですけど あの
(00:04:31) チップはねみんな払ってましたね で日本人が
(00:04:37) 旅行に行ってその日本人のお店に行った時もみんなチップは払います でねその
(00:04:45) そのお店でねちょっと面白いというか興味深いできることがあったんですけど 日本人の店だからもちろん日本人のお客さんが多いんですよ
(00:04:54) で日本にはチップの習慣がないからその日本人のお客さんがね チップを払わないでお店を出ちゃったんですよ
(00:05:04) そしたらねあのお店の人が あの人チップ払ってないよって言ってねちょっと騒いでたんです
(00:05:12) つまり 相手が日本人だろうが日本料理の店だろうがアメリカという国だから
(00:05:21) あのやっぱりチップはね必要なんですよ だから外国でお店やってる日本人の店だったらその国の習慣に合わせていいんだろうなと思います
(00:05:33) ってことでねあのこれが日本のチップに対しての考え方でした さっきも言ったけど日本のお店でチップを渡そうとするのは
(00:05:42) 別に失礼ではないと思います ただちょっと注意したいのが日本ではねあの
(00:05:50) お金を 相手にそのまま渡すのは失礼だっていう考えの人もいます
(00:05:56) そこはちょっと注意した方がいいかもしれません えっと日本ではね落とし玉みたいにお金を送るっていう習慣はあります
(00:06:05) あと他にも結婚式とかねそういう時もご主義って言ってあのお金は あの送ります
(00:06:13) ただお金をそのままじゃなくて封筒に入れたりとかね あのあとはまあ何かのお礼だったら一言メッセージをつけたりとかね
(00:06:24) そういうふうに渡すんですよだからお金そのままだとちょっとねー あのイメージ悪いかもしれません
(00:06:32) だからどうしてもねあのチップを渡したいなって思ったら渡し方をねちょっと考えた ほうがいいかもしれませんね
(00:06:39) 机とかにそのまま付けじゃなくてテーブルかレストランでテーブルにお金を置いて きて
(00:06:46) あの置いて何も言わないで出てきたなんていうとお店の人それ見た時にあの人はお金を 忘れていったのかもしれないと思ってお金を返すためにね
(00:06:56) あなたのことを追いかけてくるかもしれません だからあのちゃんとね
(00:07:02) 袋とかに入れて小さいお金を入れる袋とかありますからね あと封筒とかに入れて直接渡したりとかするといいかなと思います
(00:07:11) はいじゃあ以上チップに関してのお話でした 国が違うとねやっぱり文化とか習慣違うので戸惑うこともあるとは思いますが
(00:07:21) あのさっきも言ったけどねチップって要するにお礼の気持ちだから ちょっと違う習慣を見せられて日本人がびっくりすることはあるかもしれませんが失礼だ
(00:07:31) と思うことはねないと思うので あのチップを上げたいなと思ったら試してみてもいいと思いますよ
(00:07:37) 本当にただ上げ方だけ気をつけてくださいっていう話ですね じゃあ今日はこの辺で終わりにしたいと思いますがまた皆さんも何かね日本について聞いて
(00:07:46) みたいこととかあったらぜひリクエストを送ってください あとまたいつも通りペーパーを載せておくのでもしよければ
(00:07:53) あの少しでもいいので応援していただけると嬉しいです はいじゃあえっとまた次のエピソードでお会いしましょう
(00:08:01) さようなら
