ep. 231 - 報告

みなさんこんにちはともうです 報告です今月またあの
8ね今度は英語じゃなくて中国語も使って話をしましょうというのをやってみました やってみて思ったことは俺は中国語
かり忘れたっていうことですねあの中国語全然わかりませんでした 話すのも全然できなくなってましたなのでほとんど日本語
ばっかりでしたねあの 参加してくれた人は日本語が上手だったので日本語ほとんど日本語だけでも大丈夫でしたか
8ね次からはもうちょっと中国語を勉強してからやるか それか中国語が全然わからない俺と友達に優しく教えてくれる人と一緒に話を
したいなと思います 8今回中国語をやったのでまた次は英語
かなまぁ中国語もし面白いからねあのまたやってもいいなと思うんですが とりあえずあの英語と中国語を1回ずつやってすごくねあの皆さんとお話できて楽しかった
です なのでまた時間があるときにやりたいと思いますからその時は
8また インスタかあのポッドキャストの方で連絡をします
あとそれとあの今回も少しねその中国語 も話が終わった後にインスタのライブを友達と2人でしました
まあライブっていうか2人でただ話をしてただけなんですけどね ただそれも聞いてくれる人が少しいてあの皆さんのコメントとかを見ながら話をするのが
とても楽しかったです またその友達とインスタライブやりたいなと思いますがあの
もしね何かそのライブの時に話してほしいテーマとかがあったら ぜひ
教えてください インスタのメッセージでもメールでも何でもいいです
で俺が一人で何かのテーマについて話をするよりその友達と2人で一つのテーマについて 話をする方が
みんなもいろいろな日本語が聞けると思うので面白いんじゃないかなと思います ということであのこれからは
そのポッドキャストのエピソードのリクエストもそうですがインスタライブのそのライブ で俺と友達が2人で話をするテーマもリクエストがあればどんどん聞きたいと思いますので
何か気になることとか話してほしいことがある人は メッセージをねたくさんください待ってます
ってことであの今月の報告でした 皆さんからのいろいろな
反応があってねこのポッドキャストとかそういうイベントとかあの いろいろ楽しくできてます本当にありがとうございます
これからもポッドキャスト続けていきますのでどうぞよろしくお願いします はいってはあの
以上ですまた次のエピソードでお会いしましょうさようなら
