ep. 231 - 報告

(00:00:00) みなさんこんにちはともうです 報告です今月またあの
(00:00:12) 8ね今度は英語じゃなくて中国語も使って話をしましょうというのをやってみました やってみて思ったことは俺は中国語
(00:00:24) かり忘れたっていうことですねあの中国語全然わかりませんでした 話すのも全然できなくなってましたなのでほとんど日本語
(00:00:36) ばっかりでしたねあの 参加してくれた人は日本語が上手だったので日本語ほとんど日本語だけでも大丈夫でしたか
(00:00:46) 8ね次からはもうちょっと中国語を勉強してからやるか それか中国語が全然わからない俺と友達に優しく教えてくれる人と一緒に話を
(00:00:58) したいなと思います 8今回中国語をやったのでまた次は英語
(00:01:06) かなまぁ中国語もし面白いからねあのまたやってもいいなと思うんですが とりあえずあの英語と中国語を1回ずつやってすごくねあの皆さんとお話できて楽しかった
(00:01:18) です なのでまた時間があるときにやりたいと思いますからその時は
(00:01:25) 8また インスタかあのポッドキャストの方で連絡をします
(00:01:32) あとそれとあの今回も少しねその中国語 も話が終わった後にインスタのライブを友達と2人でしました
(00:01:42) まあライブっていうか2人でただ話をしてただけなんですけどね ただそれも聞いてくれる人が少しいてあの皆さんのコメントとかを見ながら話をするのが
(00:01:53) とても楽しかったです またその友達とインスタライブやりたいなと思いますがあの
(00:02:01) もしね何かそのライブの時に話してほしいテーマとかがあったら ぜひ
(00:02:08) 教えてください インスタのメッセージでもメールでも何でもいいです
(00:02:14) で俺が一人で何かのテーマについて話をするよりその友達と2人で一つのテーマについて 話をする方が
(00:02:23) みんなもいろいろな日本語が聞けると思うので面白いんじゃないかなと思います ということであのこれからは
(00:02:32) そのポッドキャストのエピソードのリクエストもそうですがインスタライブのそのライブ で俺と友達が2人で話をするテーマもリクエストがあればどんどん聞きたいと思いますので
(00:02:44) 何か気になることとか話してほしいことがある人は メッセージをねたくさんください待ってます
(00:02:53) ってことであの今月の報告でした 皆さんからのいろいろな
(00:02:59) 反応があってねこのポッドキャストとかそういうイベントとかあの いろいろ楽しくできてます本当にありがとうございます
(00:03:06) これからもポッドキャスト続けていきますのでどうぞよろしくお願いします はいってはあの
(00:03:13) 以上ですまた次のエピソードでお会いしましょうさようなら
