ep. 236 - 図書館(N4)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:17) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:27) さて今日のテーマは図書館です 図書館について話してくださいっていうリクエストです
(00:00:37) 図書館か 図書館
(00:00:41) あの皆さん多分図書館は知っていると思いますがまあどこの国にもありますよね 図書館って実は俺あんまり使わないんですよ
(00:00:54) あの 本は好きです本は好きなんですけど
(00:01:01) あの本は好きだから だから自分で買いたいと思っているので
(00:01:09) あまり図書館で借りないんですよ あの
(00:01:16) 本は 借りたら返さなきゃならないじゃないですか
(00:01:22) なので俺はねその返すのが嫌で ずっと自分で持っていたいから
(00:01:29) 欲しい本は絶対 買うんですだから図書館あまり使わないんですよ
(00:01:37) なのであの
(00:01:40) 図書館についてね話すとしたら俺が 知ってることそうだなぁ日本の図書館でどんなことをしているかっていうのを少し紹介する
(00:01:49) ぐらいですかね えっと
(00:01:53) 図書館ですることって 他の国と何か違いがあるのかなぁちょっとそれは俺もわからないんですけど
(00:02:03) えっと まあ俺の考える図書館というとどんなところかというと
(00:02:11) まあまず本を借りるところですよね 好きな本を誰でも無料で借りることができます
(00:02:19) だいたい図書館というのは日本だと一つの市に 必ず一つはあるというイメージがあります
(00:02:28) とても小さい町とかだったらないかもしれませんが 大きい市だったら必ず図書館はあります
(00:02:37) えっと大きい図書館と後はその他にもあの少し小さい 図書館がね
(00:02:45) いろいろなところにある 町というのもあります
(00:02:49) でそこに住んでいる人は無料で本を借りることができます そこに住んでいなくても違うところからあの学校があるとか会社があるとかで
(00:03:02) そこに通っている人も利用できるというところが多いです
(00:03:08) 初めて使うときには登録してそして あの図書館を使うためのカードとかを作って
(00:03:17) そしてあの そのカードを見せると借りることができるという図書館が多いと思います
(00:03:26) あとは図書館は本を借りるだけじゃなくてその図書館の中で借りないで本を読む こともできるし
(00:03:36) あとは大きい図書館だとあの 図書館の本を使って勉強したりレポートを書いたりする人のための勉強の部屋を
(00:03:46) あの 作ってあるところもたくさんあります
(00:03:52) えっとそれだけじゃなくて図書館ではあの 図書館で働いている人がいろいろなことをします
(00:04:02) 例えば子供のために あの子供の本を読んであげたりとか
(00:04:10) あとは何かおすすめの本の紹介をしたりとか それは図書館によって違います
(00:04:18) いろいろな図書館があるのでその図書館の図書館で働いている人がいろんなことを 考えていろいろなことをします
(00:04:27) これがまあ日本の普通の図書館かなと思います
(00:04:33) あとね図書館について話すとあの 俺ねー
(00:04:40) 図書館で最初にイメージするものって 自分で
(00:04:44) 図書館を使った記憶じゃなくて アニメを思い出すんですよ
(00:04:52) あのねーこれ多分外国の人でも見たことがある人いるんじゃないかな 日本のジブリという
(00:05:01) 会社のアニメはとても有名で世界のいろいろなところでそのジブリのアニメが見 られていると思うんですが
(00:05:10) ジブリのアニメの一つで 耳をすませばという
(00:05:15) アニメがあります そのアニメ
(00:05:19) に図書館が出てきて あの
(00:05:23) 図書館の あの話がね
(00:05:28) あるんですよ 耳をすませばって女の子中学生の女の子の話なんですけど
(00:05:36) その女の子が図書館で その子も本が好きでよく図書館に行って本を借りるんですが
(00:05:43) 図書館で本を借りると あの本の
(00:05:48) えっとね最後に貸し出しカードというのがあってそこにいつも同じ男の子の名前が あってその男の子を好きになるという話なんですが
(00:06:00) このね貸し出しカードっていうのが すごい
(00:06:06) 懐かしくていいなっていうふうに思うんですよ 日本の今の図書館って多分ねどこの図書館に行っても本を借りるときに自分の
(00:06:18) カードを見せてそのカードにある番号とか コードとかを
(00:06:25) 機械で読み取ってそして本を借りるっていうことをすると思うんですが 昔はそういう機会がなかったから全部手で
(00:06:35) 書いて本を借りてたんですよ あのどの本を誰が借りるかいつ返すかみたいなことを全部カードに書いてそしてその
(00:06:45) 書いたカードを本の最後に入れておくっていうことを昔してたんです 俺が子供の時もねそうでした
(00:06:54) んであの だから本の最後を見ると今まで誰が借りたのかっていうのが全部わかるようになって
(00:07:01) たんですよ これがねあの今はもうなくなってしまったシステムなんですけど
(00:07:09) まあ全部手で書くのは大変ですからね だから
(00:07:14) あの大変なことだったんだけどでも懐かしいなっていうそういう アニメですね
(00:07:23) なんか図書館の話とちょっと離れてしまいましたが 昔の図書館が好きな人はこのアニメ見るといいなぁって思うかもしれません
(00:07:33) じゃあ図書館に話を戻しますがえっと図書館というのは本を借りるだけじゃなくて そこで勉強したりとかあとはあの子供のためのいろんなことをやったりとか
(00:07:44) あの本の紹介とかがされるところですね誰でも無料で利用できるのでもし日本に 住んでいる人がいましたら
(00:07:53) ぜひ日本の図書館も使ってみてください 昔は日本の図書館って漫画は置いてないところが多かったと思うんですが
(00:08:02) 最近はね有名な漫画は置いてあるっていうところも多くなってきたみたいですね あの
(00:08:09) 日本の小説はまだ難しいけど漫画は読んでみたいっていう人にもいいと思います ぜひ行ってみてください
(00:08:17) じゃあ今日はこの辺で終わりにしたいと思いますが他にも何かリクエストとかあったら 皆さんもぜひメッセージとかメールを送ってください
(00:08:25) あとはペイパルがあるので応援してくれる人がいたらぜひお願いします ではまた次のエピソードでお会いしましょうさようなら
