ep. 238 - 夏休みの過ごし方(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマ映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は 夏休みについて話をしたいと思います今冬なんですけどね
なぜかというと夏休みにすることのねリクエストをもらったんですよ 今は冬なんですが来年の夏に家族で日本に遊びに来るっていう方がいらっしゃって
それで日本の子供って夏休みにどんなことをして遊ぶんですかっていう質問だったので 今日はねその夏休みに小学生とか中学生ぐらいの子供がどんなことをするのか
っていうことをお話ししたいと思います ただこれは
俺が子供の時の話だね あの
俺が子供の時ってもう大昔の話ですから だから今の子供とはちょっと違うところもあるかもしれませんが
まあねあのそんなに全然違うということもないでしょうから あの
まあとりあえずね話してみたいと思います じゃあまずは小学生ですね小学生の時俺は何をしてたかというと
まあ夏休み毎日休みですからねあの友達と遊んでいましたね でもちろん毎日友達と遊んでいたわけではありません
家族と出かけたりもしますで特にあの夏休みはだいたい7月の終わり終わりというか後半ですね 後半から8月まで休み
短いところだと1ヶ月ないぐらいですね長いところだと1ヶ月とかもうちょっとあるの かな
あの地域によってちょっと夏休みの長さが違うんですよ 北海道みたいに寒いところすごく寒くて冬は雪がたくさん降ってとかそういうところは
夏休みが少し短くて 逆にあの冬休みが長いんですよ
そして暑いところでは夏休みが長くなって冬休みが短い でもまぁだいたい1ヶ月ぐらいですね1ヶ月休みがあるんですがその休みの間に
お盆があります あのお盆っていうのは
だいたいみんな日本人は あの親戚の家へ行きます親戚っていうか
自分の祖父母ですねおじいちゃんおばあちゃんと そのおじいちゃんおばあちゃんのところに行く人が多いです
なので自分の祖父母の家に行ってんでおじさんとかおばさんとかね あのそういう親戚がいる人は同じぐらいの時期にみんな祖父母の家に行くことが多いです
んでそのお盆の時は祖父母の家へ行ってみんなでご飯食べたりとかね まぁちょっとどこかに出かけたりする人も多いと思います
あとはあの友達と遊ぶと祖父母の家に行く以外だと家族でどこかにお出かけするって いう人も多いです
だから夏休み7月から8月までは遊園地とかはとても人が多いんですよ 特にその7月8月の
土日ですね 平日は子供は学校が休みですけど大人は仕事がありますからね
だから子供も平日は友達と遊んでそして土日に家族みんなで出かけるっていう人が多いんです がみんなそうするから
7月8月の土日はね本当に いろんなところに人がたくさんいて遊ぶのがすごく疲れますね
あとはねそのまあ出かける場所っていうのは家族によって違います 遊園地が好きな人もいるしキャンプに行ったりする人も夏ですからたくさんいると思います
あとはその家族で出かける以外だと夏だけのイベントは 花火大会とかお祭りが多いですね
だいたいね7月の終わりぐらいとかあとはお盆の時期ですねそのあたりにお祭りをする 地域がたくさんあります
俺が住んでいるところでも7月の終わりですね 7月末に花火大会があります
あとはまあ住んでいるところの近くだと8月やっぱりお盆の時期にお祭りがあってその時に 花火大会も一緒にするというところもあります
なのでこういうところにね友達とかあとは花火大会は夜ですからあの小さい子供は 友達とはいけないので家族みんなで行ったりします
でこれがね俺が子供の時の小学生の時の夏休みの過ごし方だったんですけど あの今はねちょっと違うんじゃないかなと思います
なんでかっていうと 暑いからです 昔はね
今よりもあまり暑くなかったと思うんですよ 俺が子供の時って外で遊ぶことができました夏でも
でも今ねー ずっと外にいると熱中症って言って
暑すぎて病気になる人がねすごく多いんです だから外でねずっと遊ぶことができないんですよ
んであの俺が子供の時にはなかった子供の遊ぶ場所っていうのがあって あの日本に住んでいる小さい子供がいる人は
インターネットで屋内遊び場っていうのを探してみてほしいんですけど 外で遊ぶのはねあのコロナの時とかもあったしあとは
地震とか 夏だと大きな台風が来たりとかいろいろね
あの危ないことがあったので 最近では外じゃなくて中で安全に遊べるように
ほんと小さい子供あの3歳とか4歳とかそのぐらい小さい子供から小学生中学生 ぐらいまで遊べるような
建物の中の遊ぶ場所っていうのがいろいろなところに作られています 俺の住んでいるところでも同じ市の中に
お箇所ぐらいあるかな結構いっぱいあるんですよ 今はちょっとコロナの影響で1回に入れる人数があまり多くない時もあるんです
けど それでもね20人とか30人とかあの
入れますから で1回だいたい1時間とか2時間というふうに時間も決まっているので
結構ねいろいろなたくさんの人がそこに遊びに行くことができます これは本当にあの日本全国どこにでもあるので
日本に旅行に来た人でもね多分行くことができると思います 調べてみるとねいろいろ出てくるから小さいお子さんがいる人はぜひ見てみてください
んであとはこれは夏休みだけではないんですが家族で遊びに行くところって言うと 遊園地の他に例えば海の近くだったら水族館って言っていろいろな魚がいるところとか
あとは動物園とかもねあの子供には昔からずっと人気ですね
ではこれが日本の小学生ぐらいの子供の遊び方ですね これが中学生になると少し変わります
あの遊びに行くところ家族でみんなで遊びに行くところは小学生の時とそんなには変わら ないと思うんですけど
やっぱり子供だけ子供だけっていうか友達同士で行くっていう機会も増えますし あとは勉強の時間が多くなりますね
中学生も中学3年生だと高校受験があります 高校に入るための試験があります
なのでその試験のために夏休みに学校はないんだけど塾とかに行って あの毎日勉強をするという人もたくさんいます
これは中学1年生とか2年生だとあまり多くないですけど3年生になるとすごく多く なりますね
あとは勉強はね小学生でももちろんしますね遊びに行かない時はみんな家で 宿題があります
最近は宿題ってちょっと減ったと思うんですけど あの俺が子供の時はね夏休み結構たくさん宿題があったんですよ
毎日しなければならない宿題 夏休みのための宿題の薄い本があったんです
夏休みの友っていう名前の 宿題の本だったんですけどね
友って友達の友ですよ 宿題が友達だなんて嫌な話ですけどその宿題を
真面目な人は ちゃんとね遊びに行かないときは家でしていますね
俺は真面目じゃなかったのであまりやってなかったんですがでも宿題は出さないと 先生に怒られるので夏休みの最後の2日ぐらいで泣きそうになりながら
溜まった宿題をずっとやっていましたこれはもう俺は小学生も中学生も同じでした ね
はいじゃあこんなのが日本の 子供の夏休みの過ごし方です
でこれが冬になるとね遊び方がちょっと変わりますね もうすぐ冬休みに入る学校がたくさんありますが
夏と違って今度は寒くて外で遊べないし あの
雪が降るところなんかでは あの外で遊ぶの危ないですからね
ですが山とかに行ってスキーができるところもありますからそういう冬のスポーツ ウィンタースポーツをする人が多くなってきます
あとは冬休みはあの 年末年始ですね1年が終わりますから1年の最後の日
最後の日の夜大晦日って言うんですけど 年越しですね新しい1年を迎える
その年越しの時に家族みんなで蕎麦を食べたりとか友達と あの神社とかお寺に行ったりとかね
あと正月もやっぱり親戚のうちに行ったりとかそういうことをしますね
夏休みとか冬休み日本に旅行に来れる人がいたらぜひ 日本人と同じような遊びもしてみてください
8じゃあ今日はこの辺で終わりにしたいと思います以上が子供の遊び方でした ただこれは俺が子供の時の話だからね今の子供はちょっと違うかもしれません
日本人の子供の友達ができたらその人に聞いてみてください ではえっと
またいつも通りペイパル載せておくので応援してくださる方いらっしゃいましたらお願いします えっとでは次のエピソードでまたお会いしましょうさようなら
