ep. 238 - 夏休みの過ごし方(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:18) 教科書の日本語は面白くないでもドラマ映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:27) さて今日は 夏休みについて話をしたいと思います今冬なんですけどね
(00:00:36) なぜかというと夏休みにすることのねリクエストをもらったんですよ 今は冬なんですが来年の夏に家族で日本に遊びに来るっていう方がいらっしゃって
(00:00:50) それで日本の子供って夏休みにどんなことをして遊ぶんですかっていう質問だったので 今日はねその夏休みに小学生とか中学生ぐらいの子供がどんなことをするのか
(00:01:02) っていうことをお話ししたいと思います ただこれは
(00:01:08) 俺が子供の時の話だね あの
(00:01:13) 俺が子供の時ってもう大昔の話ですから だから今の子供とはちょっと違うところもあるかもしれませんが
(00:01:23) まあねあのそんなに全然違うということもないでしょうから あの
(00:01:29) まあとりあえずね話してみたいと思います じゃあまずは小学生ですね小学生の時俺は何をしてたかというと
(00:01:38) まあ夏休み毎日休みですからねあの友達と遊んでいましたね でもちろん毎日友達と遊んでいたわけではありません
(00:01:49) 家族と出かけたりもしますで特にあの夏休みはだいたい7月の終わり終わりというか後半ですね 後半から8月まで休み
(00:02:02) 短いところだと1ヶ月ないぐらいですね長いところだと1ヶ月とかもうちょっとあるの かな
(00:02:09) あの地域によってちょっと夏休みの長さが違うんですよ 北海道みたいに寒いところすごく寒くて冬は雪がたくさん降ってとかそういうところは
(00:02:23) 夏休みが少し短くて 逆にあの冬休みが長いんですよ
(00:02:30) そして暑いところでは夏休みが長くなって冬休みが短い でもまぁだいたい1ヶ月ぐらいですね1ヶ月休みがあるんですがその休みの間に
(00:02:42) お盆があります あのお盆っていうのは
(00:02:47) だいたいみんな日本人は あの親戚の家へ行きます親戚っていうか
(00:02:54) 自分の祖父母ですねおじいちゃんおばあちゃんと そのおじいちゃんおばあちゃんのところに行く人が多いです
(00:03:02) なので自分の祖父母の家に行ってんでおじさんとかおばさんとかね あのそういう親戚がいる人は同じぐらいの時期にみんな祖父母の家に行くことが多いです
(00:03:17) んでそのお盆の時は祖父母の家へ行ってみんなでご飯食べたりとかね まぁちょっとどこかに出かけたりする人も多いと思います
(00:03:26) あとはあの友達と遊ぶと祖父母の家に行く以外だと家族でどこかにお出かけするって いう人も多いです
(00:03:36) だから夏休み7月から8月までは遊園地とかはとても人が多いんですよ 特にその7月8月の
(00:03:46) 土日ですね 平日は子供は学校が休みですけど大人は仕事がありますからね
(00:03:55) だから子供も平日は友達と遊んでそして土日に家族みんなで出かけるっていう人が多いんです がみんなそうするから
(00:04:05) 7月8月の土日はね本当に いろんなところに人がたくさんいて遊ぶのがすごく疲れますね
(00:04:15) あとはねそのまあ出かける場所っていうのは家族によって違います 遊園地が好きな人もいるしキャンプに行ったりする人も夏ですからたくさんいると思います
(00:04:27) あとはその家族で出かける以外だと夏だけのイベントは 花火大会とかお祭りが多いですね
(00:04:37) だいたいね7月の終わりぐらいとかあとはお盆の時期ですねそのあたりにお祭りをする 地域がたくさんあります
(00:04:47) 俺が住んでいるところでも7月の終わりですね 7月末に花火大会があります
(00:04:55) あとはまあ住んでいるところの近くだと8月やっぱりお盆の時期にお祭りがあってその時に 花火大会も一緒にするというところもあります
(00:05:06) なのでこういうところにね友達とかあとは花火大会は夜ですからあの小さい子供は 友達とはいけないので家族みんなで行ったりします
(00:05:17) でこれがね俺が子供の時の小学生の時の夏休みの過ごし方だったんですけど あの今はねちょっと違うんじゃないかなと思います
(00:05:30) なんでかっていうと 暑いからです 昔はね
(00:05:36) 今よりもあまり暑くなかったと思うんですよ 俺が子供の時って外で遊ぶことができました夏でも
(00:05:46) でも今ねー ずっと外にいると熱中症って言って
(00:05:52) 暑すぎて病気になる人がねすごく多いんです だから外でねずっと遊ぶことができないんですよ
(00:06:02) んであの俺が子供の時にはなかった子供の遊ぶ場所っていうのがあって あの日本に住んでいる小さい子供がいる人は
(00:06:13) インターネットで屋内遊び場っていうのを探してみてほしいんですけど 外で遊ぶのはねあのコロナの時とかもあったしあとは
(00:06:25) 地震とか 夏だと大きな台風が来たりとかいろいろね
(00:06:30) あの危ないことがあったので 最近では外じゃなくて中で安全に遊べるように
(00:06:38) ほんと小さい子供あの3歳とか4歳とかそのぐらい小さい子供から小学生中学生 ぐらいまで遊べるような
(00:06:48) 建物の中の遊ぶ場所っていうのがいろいろなところに作られています 俺の住んでいるところでも同じ市の中に
(00:06:59) お箇所ぐらいあるかな結構いっぱいあるんですよ 今はちょっとコロナの影響で1回に入れる人数があまり多くない時もあるんです
(00:07:09) けど それでもね20人とか30人とかあの
(00:07:14) 入れますから で1回だいたい1時間とか2時間というふうに時間も決まっているので
(00:07:20) 結構ねいろいろなたくさんの人がそこに遊びに行くことができます これは本当にあの日本全国どこにでもあるので
(00:07:32) 日本に旅行に来た人でもね多分行くことができると思います 調べてみるとねいろいろ出てくるから小さいお子さんがいる人はぜひ見てみてください
(00:07:44) んであとはこれは夏休みだけではないんですが家族で遊びに行くところって言うと 遊園地の他に例えば海の近くだったら水族館って言っていろいろな魚がいるところとか
(00:07:58) あとは動物園とかもねあの子供には昔からずっと人気ですね
(00:08:06) ではこれが日本の小学生ぐらいの子供の遊び方ですね これが中学生になると少し変わります
(00:08:16) あの遊びに行くところ家族でみんなで遊びに行くところは小学生の時とそんなには変わら ないと思うんですけど
(00:08:24) やっぱり子供だけ子供だけっていうか友達同士で行くっていう機会も増えますし あとは勉強の時間が多くなりますね
(00:08:34) 中学生も中学3年生だと高校受験があります 高校に入るための試験があります
(00:08:43) なのでその試験のために夏休みに学校はないんだけど塾とかに行って あの毎日勉強をするという人もたくさんいます
(00:08:54) これは中学1年生とか2年生だとあまり多くないですけど3年生になるとすごく多く なりますね
(00:09:03) あとは勉強はね小学生でももちろんしますね遊びに行かない時はみんな家で 宿題があります
(00:09:13) 最近は宿題ってちょっと減ったと思うんですけど あの俺が子供の時はね夏休み結構たくさん宿題があったんですよ
(00:09:22) 毎日しなければならない宿題 夏休みのための宿題の薄い本があったんです
(00:09:31) 夏休みの友っていう名前の 宿題の本だったんですけどね
(00:09:36) 友って友達の友ですよ 宿題が友達だなんて嫌な話ですけどその宿題を
(00:09:44) 真面目な人は ちゃんとね遊びに行かないときは家でしていますね
(00:09:51) 俺は真面目じゃなかったのであまりやってなかったんですがでも宿題は出さないと 先生に怒られるので夏休みの最後の2日ぐらいで泣きそうになりながら
(00:10:03) 溜まった宿題をずっとやっていましたこれはもう俺は小学生も中学生も同じでした ね
(00:10:11) はいじゃあこんなのが日本の 子供の夏休みの過ごし方です
(00:10:17) でこれが冬になるとね遊び方がちょっと変わりますね もうすぐ冬休みに入る学校がたくさんありますが
(00:10:26) 夏と違って今度は寒くて外で遊べないし あの
(00:10:31) 雪が降るところなんかでは あの外で遊ぶの危ないですからね
(00:10:37) ですが山とかに行ってスキーができるところもありますからそういう冬のスポーツ ウィンタースポーツをする人が多くなってきます
(00:10:47) あとは冬休みはあの 年末年始ですね1年が終わりますから1年の最後の日
(00:10:56) 最後の日の夜大晦日って言うんですけど 年越しですね新しい1年を迎える
(00:11:03) その年越しの時に家族みんなで蕎麦を食べたりとか友達と あの神社とかお寺に行ったりとかね
(00:11:11) あと正月もやっぱり親戚のうちに行ったりとかそういうことをしますね
(00:11:19) 夏休みとか冬休み日本に旅行に来れる人がいたらぜひ 日本人と同じような遊びもしてみてください
(00:11:30) 8じゃあ今日はこの辺で終わりにしたいと思います以上が子供の遊び方でした ただこれは俺が子供の時の話だからね今の子供はちょっと違うかもしれません
(00:11:40) 日本人の子供の友達ができたらその人に聞いてみてください ではえっと
(00:11:49) またいつも通りペイパル載せておくので応援してくださる方いらっしゃいましたらお願いします えっとでは次のエピソードでまたお会いしましょうさようなら
