ep. 240 - お酒飲みながら何話す？(N4)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日は
くだらない話 くだらないって言うとちょっと違うかもしれませんけど
あの 居酒屋とかでお酒を飲みながら友達と話す
なんかあまり大切ではないそういう テーマってどんなものがありますかという質問があったので
それに答えてみたいと思います えっと居酒屋というのはお酒を飲むところですねお酒を飲みながら何か食べたりするところなんですけど
まあお酒を 飲んでいる時って
特に友達とお酒を飲んでいる時って そんなに大切な話はしませんね
あの 大切じゃないけどまあ
その一緒に話している人と自分が面白いと思うことだったら何でもいいんですが でもやっぱりお酒を飲んでいるときは頭があまり動かないから難しい話もできませんね
じゃあ大切じゃあない難しくもない話 そして面白いのってどんなのがあるかということですね
まあ面白いかどうかはわかりませんが俺が友達と 酒を飲んだ時に話すことというと
いろいろありますが いろいろあるんですけどでも今思い出すことってあんまりできないんですよ
そんなに酒飲みながら話すことって大切じゃないからその時 あの頭の中に出てきたことを話すだけですぐ忘れちゃうんですよね
あの話している時はもちろん面白いんですけどでもその話が終わったら すぐ忘れちゃってあの
どんな話をしたのと聞かれてもなかなか思い出せないんですが でもいつもお酒を飲み始めた時に最初にする話はだいたい同じで
最近どうですかっていう話ですね大人になってからはやっぱり仕事の話をすることが 多いです
最近仕事でこう何か いいこととか逆に大変なこととかあったっていう話とか
うんと給料上がったとか そういう話が多いですかね
あとは仕事以外だと家の話家族の話とかもあります あとこれはね大人になってから
あの年を取ってから この話題がすごく多くなったんですけど自分の体のこと
健康のこと あの
若い時は 病気とか怪我とか何もなくていつも体は健康だったんですけど
年を取ると すぐに病気になったりどこか痛くなったりするんですよね
だから 本当にあの体の健康のことを話す
時間がすごく多くなりました でその
最初にその最近どうっていう話とかまあ仕事とか家族あとは体のことですね そういう話をしてそこからこう
話が出てきて 別のことを思い出してあそういえばあのあれはどうだったとか別の話になって
いくことが多いですね これがまあ居酒屋での
酒を飲みながら話すことですね でまぁとにかくさっきも今言ったけど体について
体のことについて話すのが本当に多くなりましたね あの
若い時は 俺がよく一緒に飲む友達っていうと高校生の時からのずっと長い友達なんです
けど高校生の時は運動もよくしてたから病気とかもないし まあ運動してスポーツでする怪我はもちろんありましたけどね
でも病気もないし全然太ったりもしないし 健康の心配病気の心配っていうのが全然なかったんですよ
それが あの
大学生になって社会人になってどんどん大人になっていくと運動もしないから どんどん太っていくし酒とかタバコとか体に悪い習慣も多くなっていくし
それでねあの 病気の話健康の話をすると
なかなか話が終わらなくなりますこれって俺だけじゃないと思うんですよ あの
昔は俺もね自分の親を見て親がいつも なんか病院の話とか薬の話とかどこか旅行に行くときもたくさん薬を持って
行ったりとかするからなんでそんなに体の あの心配っていうかね体の悪いことばっかりあるんだろうって思ってたんですけど
これは大人にならないとわかんないですね 大人になるとあの
どんどん体が 弱ってくる弱くなってくるのがよくわかります子供にはわからないことですね
であとはこういう話とか最近どうっていう話の後 これからのことについて話すことも多いです
うんとまぁこれからっていうと将来のことでもいいし 近い未来のことでもいいし
8例えばそうああそうだね最近 あの
友達とね俺は酒を飲んでて話し話したことといえばこのポッドキャストの話とか あとはじゃあポッドキャストでいろんな人が聞いてくれてるから
あの今度は その友達も一緒に何か俺のポッドキャスト聞いてる人と一緒に話してみないって言って
それで 今年はあの
英語を話す人とか中国語を話す人とかと一緒に あの話をする機会も作りましたし
こういうねあの こと
居酒屋とかで酒飲みながら話したりしてますね最近のこととかちょっと未来の話 これからのずっと遠い将来の話
そういうことですね
はいじゃあまぁこんなのが居酒屋でね飲みながらする話です ほんと年を取るとね
話題にすることって若い時と変わってきますね あの
病気の話が多くなったのは年を取った 証拠だと思います
なんかね自分がもう若くないんだなっていうのを実感します
はいじゃあこんな感じで8酒飲みながら話すことはくだらない話 くだらないっていうのは大切じゃないし他の人が聞いても面白いとも思わないそう
いう話ですねそういうことが多いです
8 はいじゃあ今日はこの辺で終わりにしたいと思いますが他にも何かまた
リクエストとかあったらメッセージとかメールを送ってください宜しくお願いします じゃあまた次のエピソードでお会いしましょうさようなら
