ep. 240 - お酒飲みながら何話す？(N4)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:19) そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日は
(00:00:28) くだらない話 くだらないって言うとちょっと違うかもしれませんけど
(00:00:37) あの 居酒屋とかでお酒を飲みながら友達と話す
(00:00:45) なんかあまり大切ではないそういう テーマってどんなものがありますかという質問があったので
(00:00:54) それに答えてみたいと思います えっと居酒屋というのはお酒を飲むところですねお酒を飲みながら何か食べたりするところなんですけど
(00:01:09) まあお酒を 飲んでいる時って
(00:01:14) 特に友達とお酒を飲んでいる時って そんなに大切な話はしませんね
(00:01:21) あの 大切じゃないけどまあ
(00:01:25) その一緒に話している人と自分が面白いと思うことだったら何でもいいんですが でもやっぱりお酒を飲んでいるときは頭があまり動かないから難しい話もできませんね
(00:01:40) じゃあ大切じゃあない難しくもない話 そして面白いのってどんなのがあるかということですね
(00:01:50) まあ面白いかどうかはわかりませんが俺が友達と 酒を飲んだ時に話すことというと
(00:02:00) いろいろありますが いろいろあるんですけどでも今思い出すことってあんまりできないんですよ
(00:02:09) そんなに酒飲みながら話すことって大切じゃないからその時 あの頭の中に出てきたことを話すだけですぐ忘れちゃうんですよね
(00:02:23) あの話している時はもちろん面白いんですけどでもその話が終わったら すぐ忘れちゃってあの
(00:02:31) どんな話をしたのと聞かれてもなかなか思い出せないんですが でもいつもお酒を飲み始めた時に最初にする話はだいたい同じで
(00:02:43) 最近どうですかっていう話ですね大人になってからはやっぱり仕事の話をすることが 多いです
(00:02:52) 最近仕事でこう何か いいこととか逆に大変なこととかあったっていう話とか
(00:03:01) うんと給料上がったとか そういう話が多いですかね
(00:03:07) あとは仕事以外だと家の話家族の話とかもあります あとこれはね大人になってから
(00:03:17) あの年を取ってから この話題がすごく多くなったんですけど自分の体のこと
(00:03:25) 健康のこと あの
(00:03:29) 若い時は 病気とか怪我とか何もなくていつも体は健康だったんですけど
(00:03:37) 年を取ると すぐに病気になったりどこか痛くなったりするんですよね
(00:03:43) だから 本当にあの体の健康のことを話す
(00:03:50) 時間がすごく多くなりました でその
(00:03:56) 最初にその最近どうっていう話とかまあ仕事とか家族あとは体のことですね そういう話をしてそこからこう
(00:04:06) 話が出てきて 別のことを思い出してあそういえばあのあれはどうだったとか別の話になって
(00:04:14) いくことが多いですね これがまあ居酒屋での
(00:04:20) 酒を飲みながら話すことですね でまぁとにかくさっきも今言ったけど体について
(00:04:29) 体のことについて話すのが本当に多くなりましたね あの
(00:04:35) 若い時は 俺がよく一緒に飲む友達っていうと高校生の時からのずっと長い友達なんです
(00:04:43) けど高校生の時は運動もよくしてたから病気とかもないし まあ運動してスポーツでする怪我はもちろんありましたけどね
(00:04:54) でも病気もないし全然太ったりもしないし 健康の心配病気の心配っていうのが全然なかったんですよ
(00:05:04) それが あの
(00:05:06) 大学生になって社会人になってどんどん大人になっていくと運動もしないから どんどん太っていくし酒とかタバコとか体に悪い習慣も多くなっていくし
(00:05:21) それでねあの 病気の話健康の話をすると
(00:05:27) なかなか話が終わらなくなりますこれって俺だけじゃないと思うんですよ あの
(00:05:36) 昔は俺もね自分の親を見て親がいつも なんか病院の話とか薬の話とかどこか旅行に行くときもたくさん薬を持って
(00:05:49) 行ったりとかするからなんでそんなに体の あの心配っていうかね体の悪いことばっかりあるんだろうって思ってたんですけど
(00:06:01) これは大人にならないとわかんないですね 大人になるとあの
(00:06:08) どんどん体が 弱ってくる弱くなってくるのがよくわかります子供にはわからないことですね
(00:06:17) であとはこういう話とか最近どうっていう話の後 これからのことについて話すことも多いです
(00:06:27) うんとまぁこれからっていうと将来のことでもいいし 近い未来のことでもいいし
(00:06:36) 8例えばそうああそうだね最近 あの
(00:06:41) 友達とね俺は酒を飲んでて話し話したことといえばこのポッドキャストの話とか あとはじゃあポッドキャストでいろんな人が聞いてくれてるから
(00:06:51) あの今度は その友達も一緒に何か俺のポッドキャスト聞いてる人と一緒に話してみないって言って
(00:06:59) それで 今年はあの
(00:07:02) 英語を話す人とか中国語を話す人とかと一緒に あの話をする機会も作りましたし
(00:07:10) こういうねあの こと
(00:07:13) 居酒屋とかで酒飲みながら話したりしてますね最近のこととかちょっと未来の話 これからのずっと遠い将来の話
(00:07:22) そういうことですね
(00:07:25) はいじゃあまぁこんなのが居酒屋でね飲みながらする話です ほんと年を取るとね
(00:07:33) 話題にすることって若い時と変わってきますね あの
(00:07:38) 病気の話が多くなったのは年を取った 証拠だと思います
(00:07:45) なんかね自分がもう若くないんだなっていうのを実感します
(00:07:50) はいじゃあこんな感じで8酒飲みながら話すことはくだらない話 くだらないっていうのは大切じゃないし他の人が聞いても面白いとも思わないそう
(00:08:01) いう話ですねそういうことが多いです
(00:08:06) 8 はいじゃあ今日はこの辺で終わりにしたいと思いますが他にも何かまた
(00:08:12) リクエストとかあったらメッセージとかメールを送ってください宜しくお願いします じゃあまた次のエピソードでお会いしましょうさようなら
