ep. 242 - お正月(N4)

皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日は日本のお正月の習慣について話したいと思います 習慣というのはいつもをしていることです
今日は日本人がお正月にいつもしていることを話します お正月にすることいろいろありますがまずは
日本では昔からお正月にはいろいろな飾りをします うちの外に角松とかあとはしめ縄とかを飾ります
まず一つ目のその角松というのは 松というのは木の名前です
昔から松というのは神様が来る良い木だと言われていました その木を家の前に置いておくと神様が家の内に来てくれるというふうに言われているので
お正月にはその角松を家に家の前に置きます 締め縄というのは
縄はロープです なのでその縄を家の前に飾っておくと自分のいる世界と神様の世界
その2つの世界を結んでくれるですからまあ神様が家に来やすいっていうことですね それで締め縄というのを家に飾ります
うちの中に飾るものもありますそれは鏡餅です 餅は聞いたことがある人もいるかもしれませんが食べ物です
日本では昔からいいことがあると餅を食べる時が多いです その餅を丸い形にしてそして2つ重ねておきます
餅の上には ダイダイという小さいみかんのような果物を置きます
これがお正月の時の家の中の飾りです 餅は食べ物ですねお正月に食べるものというのはいろいろあります
もちろんその餅もたくさん食べます日本ではだいたい年末12月の最後ぐらいから スーパーとかコンビニとかいろいろなところで餅がたくさん売られています
その餅を正月によく食べます 餅だけじゃなくておせちとかお雑煮などの食べ物もあります
おせちは あの一つの料理じゃなくて大きな箱みたいな
お皿お皿というか箱というかそこにいろいろな料理が入っているものなんですが 全部
あの何かいいことがありますようにというお願いをして作る料理です 例えばおせちの中には魚の卵の料理があります
魚の卵は一つだけじゃなくてたくさんあるので元気な子どもがたくさん生まれますように というお願いをして作る料理です
あとは他にもさっき言ったお雑煮ですねお雑煮はスープみたいな料理です そのスープの中にお餅を入れて食べます
このお雑煮の味は場所によって違います 日本ではあの
場所によって料理の味とか使う材料が全然違います ですからお雑煮もいろんな種類のお雑煮があります
あとは 日本で正月にする週間というとお正月の時の遊びもあります
お正月は みんなが自分の家へ帰りますですから
あのだいたい12月の最後ぐらい12月 28日ぐらいまで仕事とか学校がある人が多いので学校は違うか
学校はもっと早く終わりますね28日まで仕事の人が多くて 29日から1月3日まで休みという人が多いです
その休みの間にみんな自分の家へ帰ります そうすると一つのうちに自分の家族とか親戚とかたくさんの人が集まるので
みんなでする遊びがあります
今は あのゲームとかねたくさん遊べるものがあるので
そのお正月の遊びをしなくなった人も多いと思いますが 例えばカルタとかあとは
昔の遊びだと羽月とかですね カルタというのはカードのゲームなんですけど床にたくさんカードを置いて
そのカードには字が書かれているんですけど 一緒に遊ぶ人がその
カードに書かれている字を読んだら他の人がその字を探してそして取るという遊びが カルタと言います
羽月はバドミントンみたいな遊びです でもバドミントンよりもラケットがとても硬いので
あの俺はあまりやったことがないけど難しいですね 羽月は
ルールがあって失敗すると顔に
あの 墨を使って
落書きをされます 例えば
目の周りに丸を書いたり顔にバツを書いたりなどいろいろなものを書きます 失敗たくさん失敗すると顔にいろんなことを書かれるのでどんどん面白い顔になって
いきます こういうふうにあのお正月ではたくさん人が集まるからみんなでする遊びというのが
昔からありました ただ最近ではこの昔の遊びはだんだんしなくなりましたね
さっきも言いましたけど今はもっと面白い遊びがたくさんあるので この遊びについてはだんだん日本ではなくなってきた習慣です
あと最後に 日本人が大好きな大好きな習慣があります
お年玉です お年玉はお金です
大人が子供にお金をあげます そのお金をお年玉と言います
小さい紙でできた袋ポチ袋って言うんですけどその袋にお金を入れて大人が子供に お金をあげます
自分の子供だけじゃなくて親戚の子供とか あとはとても仲がいい人がいたらその友達の子供とかいろんな人にあげます
なのであの日本の子供は 冬休みが終わってまあお正月のお休みですね
その休みが終わって学校に行ったら友達とお年玉全部でいくらもらったとか 一番高いお年玉いくらだったとかそういうお金の話をたくさんします
さっき遊びの習慣はなくなってきましたと言いました 門松とか締め縄とかそういうお正月の飾りをしない人も多くなってきました
ですから日本のお正月の習慣はどんどんなくなってきているんですが お年玉は多分これからもなくなりません
お金はみんな大好きですよね 大人も子どももお金が大好きなのできっとお年玉はこれからもずっとなくならない習慣だ
と思います 俺もねお年玉は大好きでしたが今は大人になったのでお年玉をもらう方じゃなくて
あげる方になってしまったのでちょっと残念です さあこれが日本のお正月の習慣です
いろんな習慣があってその習慣というのは国によって全然違いますね 皆さんもお正月に日本に旅行はあまり来ないと思いますが
もしかしたら12月の最後の方に日本に来ればそういう日本のお正月の習慣も少し見る ことができると思うので
自分の国と違う習慣というのをいろいろ探してみると面白いと思います では今日はこの辺で終わりにしたいと思います
またいつも通りペーパルを載せていくので応援してくれる人 お年玉をくれる人いましたらお願いします
ではまた次のエピソードでお会いしましょうさようなら
