ep. 242 - お正月(N4)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:13) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:24) さて今日は日本のお正月の習慣について話したいと思います 習慣というのはいつもをしていることです
(00:00:35) 今日は日本人がお正月にいつもしていることを話します お正月にすることいろいろありますがまずは
(00:00:46) 日本では昔からお正月にはいろいろな飾りをします うちの外に角松とかあとはしめ縄とかを飾ります
(00:00:59) まず一つ目のその角松というのは 松というのは木の名前です
(00:01:07) 昔から松というのは神様が来る良い木だと言われていました その木を家の前に置いておくと神様が家の内に来てくれるというふうに言われているので
(00:01:22) お正月にはその角松を家に家の前に置きます 締め縄というのは
(00:01:30) 縄はロープです なのでその縄を家の前に飾っておくと自分のいる世界と神様の世界
(00:01:41) その2つの世界を結んでくれるですからまあ神様が家に来やすいっていうことですね それで締め縄というのを家に飾ります
(00:01:54) うちの中に飾るものもありますそれは鏡餅です 餅は聞いたことがある人もいるかもしれませんが食べ物です
(00:02:07) 日本では昔からいいことがあると餅を食べる時が多いです その餅を丸い形にしてそして2つ重ねておきます
(00:02:21) 餅の上には ダイダイという小さいみかんのような果物を置きます
(00:02:29) これがお正月の時の家の中の飾りです 餅は食べ物ですねお正月に食べるものというのはいろいろあります
(00:02:40) もちろんその餅もたくさん食べます日本ではだいたい年末12月の最後ぐらいから スーパーとかコンビニとかいろいろなところで餅がたくさん売られています
(00:02:54) その餅を正月によく食べます 餅だけじゃなくておせちとかお雑煮などの食べ物もあります
(00:03:05) おせちは あの一つの料理じゃなくて大きな箱みたいな
(00:03:13) お皿お皿というか箱というかそこにいろいろな料理が入っているものなんですが 全部
(00:03:21) あの何かいいことがありますようにというお願いをして作る料理です 例えばおせちの中には魚の卵の料理があります
(00:03:33) 魚の卵は一つだけじゃなくてたくさんあるので元気な子どもがたくさん生まれますように というお願いをして作る料理です
(00:03:44) あとは他にもさっき言ったお雑煮ですねお雑煮はスープみたいな料理です そのスープの中にお餅を入れて食べます
(00:03:56) このお雑煮の味は場所によって違います 日本ではあの
(00:04:04) 場所によって料理の味とか使う材料が全然違います ですからお雑煮もいろんな種類のお雑煮があります
(00:04:16) あとは 日本で正月にする週間というとお正月の時の遊びもあります
(00:04:26) お正月は みんなが自分の家へ帰りますですから
(00:04:33) あのだいたい12月の最後ぐらい12月 28日ぐらいまで仕事とか学校がある人が多いので学校は違うか
(00:04:43) 学校はもっと早く終わりますね28日まで仕事の人が多くて 29日から1月3日まで休みという人が多いです
(00:04:54) その休みの間にみんな自分の家へ帰ります そうすると一つのうちに自分の家族とか親戚とかたくさんの人が集まるので
(00:05:06) みんなでする遊びがあります
(00:05:10) 今は あのゲームとかねたくさん遊べるものがあるので
(00:05:17) そのお正月の遊びをしなくなった人も多いと思いますが 例えばカルタとかあとは
(00:05:27) 昔の遊びだと羽月とかですね カルタというのはカードのゲームなんですけど床にたくさんカードを置いて
(00:05:39) そのカードには字が書かれているんですけど 一緒に遊ぶ人がその
(00:05:46) カードに書かれている字を読んだら他の人がその字を探してそして取るという遊びが カルタと言います
(00:05:55) 羽月はバドミントンみたいな遊びです でもバドミントンよりもラケットがとても硬いので
(00:06:04) あの俺はあまりやったことがないけど難しいですね 羽月は
(00:06:11) ルールがあって失敗すると顔に
(00:06:16) あの 墨を使って
(00:06:20) 落書きをされます 例えば
(00:06:25) 目の周りに丸を書いたり顔にバツを書いたりなどいろいろなものを書きます 失敗たくさん失敗すると顔にいろんなことを書かれるのでどんどん面白い顔になって
(00:06:38) いきます こういうふうにあのお正月ではたくさん人が集まるからみんなでする遊びというのが
(00:06:46) 昔からありました ただ最近ではこの昔の遊びはだんだんしなくなりましたね
(00:06:53) さっきも言いましたけど今はもっと面白い遊びがたくさんあるので この遊びについてはだんだん日本ではなくなってきた習慣です
(00:07:04) あと最後に 日本人が大好きな大好きな習慣があります
(00:07:12) お年玉です お年玉はお金です
(00:07:17) 大人が子供にお金をあげます そのお金をお年玉と言います
(00:07:25) 小さい紙でできた袋ポチ袋って言うんですけどその袋にお金を入れて大人が子供に お金をあげます
(00:07:34) 自分の子供だけじゃなくて親戚の子供とか あとはとても仲がいい人がいたらその友達の子供とかいろんな人にあげます
(00:07:46) なのであの日本の子供は 冬休みが終わってまあお正月のお休みですね
(00:07:53) その休みが終わって学校に行ったら友達とお年玉全部でいくらもらったとか 一番高いお年玉いくらだったとかそういうお金の話をたくさんします
(00:08:08) さっき遊びの習慣はなくなってきましたと言いました 門松とか締め縄とかそういうお正月の飾りをしない人も多くなってきました
(00:08:19) ですから日本のお正月の習慣はどんどんなくなってきているんですが お年玉は多分これからもなくなりません
(00:08:31) お金はみんな大好きですよね 大人も子どももお金が大好きなのできっとお年玉はこれからもずっとなくならない習慣だ
(00:08:40) と思います 俺もねお年玉は大好きでしたが今は大人になったのでお年玉をもらう方じゃなくて
(00:08:49) あげる方になってしまったのでちょっと残念です さあこれが日本のお正月の習慣です
(00:08:59) いろんな習慣があってその習慣というのは国によって全然違いますね 皆さんもお正月に日本に旅行はあまり来ないと思いますが
(00:09:11) もしかしたら12月の最後の方に日本に来ればそういう日本のお正月の習慣も少し見る ことができると思うので
(00:09:21) 自分の国と違う習慣というのをいろいろ探してみると面白いと思います では今日はこの辺で終わりにしたいと思います
(00:09:31) またいつも通りペーパルを載せていくので応援してくれる人 お年玉をくれる人いましたらお願いします
(00:09:40) ではまた次のエピソードでお会いしましょうさようなら
